,Home Score SMA,Home At-bats SMA,Home Hits SMA,Home Doubles SMA,Home Triples SMA,Home Homeruns SMA,Home RBIs SMA,Home Sacrifice Hits SMA,Home Sacrifice Flies SMA,Home Hit-by-pitch SMA,Home Walks SMA,Home Intentional Walks SMA,Home Strikeouts SMA,Home Stolen Bases SMA,Home Caught Stealing SMA,Home Grounded into DP SMA,Home Left on Base SMA,Home Pitchers Used SMA,Home Individual Earned Runs SMA,Home Earned Runs SMA,Home Wild Pitches SMA,Home Balks SMA,Home Putouts SMA,Home Assists SMA,Home Errors SMA,Home Passed Balls SMA,Home Double Plays SMA,Home Triple Plays SMA,Visiting Score SMA,Visiting At-bats SMA,Visiting Hits SMA,Visiting Doubles SMA,Visiting Triples SMA,Visiting Homeruns SMA,Visiting RBIs SMA,Visiting Sacrifice Hits SMA,Visiting Sacrifice Flies SMA,Visiting Hit-by-pitch SMA,Visiting Walks SMA,Visiting Intentional Walks SMA,Visiting Strikeouts SMA,Visiting Stolen Bases SMA,Visiting Caught Stealing SMA,Visiting Grounded into DP SMA,Visiting Left on Base SMA,Visiting Pitchers Used SMA,Visiting Individual Earned Runs SMA,Visiting Earned Runs SMA,Visiting Wild Pitches SMA,Visiting Balks SMA,Visiting Putouts SMA,Visiting Assists SMA,Visiting Errors SMA,Visiting Passed Balls SMA,Visiting Double Plays SMA,Visiting Triple Plays SMA
10,5.9,33.7,10.2,2.0,0.3,0.8,5.5,0.6,0.3,0.2,3.6,0.5,7.8,0.3,0.1,0.3,7.3,3.1,2.7,2.7,0.6,0.0,27.0,11.8,1.3,0.0,1.0,0.0,3.5,35.7,8.3,1.5,0.3,0.8,3.2,0.0,0.1,0.3,2.1,0.2,6.6,0.3,0.1,0.4,6.8,4.0,3.9,3.9,0.7,0.1,26.0,10.2,0.6,0.1,1.1,0.0
11,4.6,33.9,9.8,2.1,0.3,0.8,4.3,0.4,0.2,0.4,3.6,0.8,6.7,1.0,0.6,1.2,7.6,3.8,2.3,2.3,0.1,0.0,28.2,10.9,0.7,0.2,1.0,0.0,4.4,33.6,8.2,1.5,0.0,0.8,4.1,0.0,0.4,0.9,2.4,0.1,7.7,0.6,0.1,0.9,6.2,3.5,5.7,5.7,0.3,0.0,25.2,12.5,0.6,0.1,1.3,0.0
12,4.6,33.0,9.3,1.3,0.3,1.0,4.3,0.1,0.5,0.4,3.3,0.2,5.7,0.9,0.4,0.6,7.2,4.1,3.4,3.4,0.0,0.1,27.3,10.0,0.8,0.0,1.2,0.0,5.7,34.9,9.2,1.9,0.1,1.0,5.4,0.0,0.5,0.8,2.4,0.2,8.0,0.7,0.1,0.8,6.2,3.4,5.5,5.5,0.4,0.0,25.2,12.3,0.6,0.1,1.4,0.0
13,3.6,32.2,7.2,1.1,0.1,0.8,3.1,0.0,0.2,0.3,3.4,0.2,8.7,0.5,0.2,0.3,7.1,4.1,2.4,2.4,0.1,0.0,27.0,9.3,0.9,0.0,0.5,0.0,5.3,35.1,8.8,1.9,0.3,1.5,5.3,0.0,0.2,0.5,3.0,0.1,8.0,0.6,0.2,0.4,6.5,3.8,3.2,3.2,0.4,0.0,25.8,8.1,1.1,0.0,0.5,0.0
14,4.5,37.0,9.0,1.1,0.2,0.9,4.3,0.3,0.0,0.7,4.0,0.2,7.6,0.7,0.3,0.9,8.0,4.1,3.3,3.3,0.3,0.0,30.9,13.8,0.3,0.0,0.9,0.0,3.9,35.2,9.5,2.0,0.2,0.7,3.6,0.3,0.4,0.2,2.8,0.1,8.6,1.2,0.3,0.5,8.1,3.4,3.8,3.8,0.0,0.1,25.5,9.5,0.5,0.0,0.9,0.0
15,4.2,33.9,8.8,1.4,0.4,1.2,4.1,0.2,0.2,0.0,5.3,0.2,6.7,0.9,0.1,0.6,9.2,4.0,2.4,2.4,0.6,0.0,27.9,10.1,1.1,0.0,0.6,0.0,4.7,33.5,8.9,2.1,0.1,0.8,4.5,0.4,0.6,0.4,3.3,0.2,7.3,1.5,0.3,0.6,7.1,4.0,4.8,4.8,0.3,0.0,25.8,10.6,0.9,0.0,2.0,0.0
16,4.3,32.9,8.6,1.3,0.1,0.9,4.1,0.3,0.2,0.3,3.8,0.2,8.0,0.6,0.3,0.9,7.4,4.1,4.2,4.2,0.5,0.0,27.0,9.8,0.5,0.0,0.4,0.0,3.9,35.8,8.6,1.8,0.3,0.7,3.3,0.3,0.2,0.5,2.3,0.3,8.4,0.5,0.3,0.7,7.2,4.1,5.4,5.4,0.3,0.1,26.4,10.5,0.4,0.0,1.5,0.0
17,7.7,35.0,12.3,2.8,0.4,1.7,7.6,0.2,0.6,0.4,3.1,0.4,5.3,0.6,0.3,1.0,6.7,4.1,3.5,3.5,0.4,0.1,27.0,12.8,1.0,0.2,0.9,0.0,3.9,32.8,6.7,1.4,0.0,1.2,3.7,0.4,0.1,0.0,3.1,0.2,8.8,0.5,0.1,0.6,5.5,3.7,3.6,3.6,0.3,0.0,25.5,10.8,0.3,0.2,0.8,0.0
18,4.0,32.1,7.9,2.1,0.1,0.9,3.9,0.1,0.4,0.1,4.0,0.1,6.1,0.5,0.1,0.9,7.2,4.6,3.5,3.5,0.3,0.0,27.0,9.4,0.9,0.3,0.7,0.0,3.2,33.9,7.5,2.4,0.2,0.4,3.0,0.3,0.3,0.1,2.3,0.0,5.2,0.5,0.2,0.9,6.0,3.3,3.2,3.2,0.4,0.0,26.4,7.8,0.9,0.1,0.4,0.0
19,5.2,34.5,9.3,2.5,0.1,1.2,4.9,0.3,0.2,0.4,4.1,0.3,7.5,0.2,0.2,1.0,7.9,4.6,3.6,3.6,0.3,0.0,27.9,9.6,0.3,0.1,0.4,0.0,6.2,35.8,9.8,2.4,0.2,0.8,5.8,0.2,0.2,0.5,5.2,0.3,9.7,0.5,0.2,0.7,8.4,4.8,5.6,5.6,0.5,0.1,26.3,10.4,0.4,0.0,0.8,0.0
20,4.3,33.2,9.4,1.5,0.1,0.9,4.1,0.1,0.5,0.4,3.4,0.2,5.5,1.0,0.4,0.7,7.6,4.1,3.5,3.5,0.0,0.2,27.3,9.4,0.8,0.0,1.2,0.0,5.5,35.3,9.3,2.1,0.1,0.9,5.2,0.0,0.5,0.6,2.4,0.2,7.5,0.8,0.1,0.8,6.3,3.1,5.3,5.3,0.5,0.0,25.2,12.1,0.6,0.1,1.4,0.0
21,4.4,33.7,8.9,2.0,0.1,0.7,3.8,0.1,0.1,0.4,3.7,0.3,8.2,0.3,0.4,1.6,7.0,4.0,4.9,4.9,0.3,0.0,27.6,10.6,0.7,0.1,0.9,0.0,4.1,35.6,8.9,1.9,0.3,0.4,4.0,0.1,0.2,0.5,3.0,0.2,8.5,0.9,0.2,0.6,7.4,4.0,4.7,4.7,0.3,0.0,26.4,10.2,0.8,0.1,1.1,0.1
22,3.7,32.0,6.7,0.8,0.1,0.9,3.2,0.0,0.1,0.4,3.7,0.2,8.8,0.5,0.0,0.3,7.1,4.1,2.2,2.2,0.1,0.0,27.0,9.7,1.1,0.0,0.7,0.0,5.2,35.4,9.2,1.7,0.3,1.3,5.2,0.0,0.2,0.4,2.9,0.2,7.1,0.7,0.2,0.5,6.7,3.5,2.6,2.6,0.5,0.0,25.8,7.9,1.1,0.0,0.5,0.0
23,2.5,29.5,6.1,1.0,0.1,0.6,2.2,0.6,0.2,0.3,2.5,0.1,7.0,0.6,0.2,0.9,5.4,3.7,2.3,2.3,0.2,0.0,27.0,11.2,0.3,0.0,0.7,0.0,2.4,33.3,6.7,1.7,0.2,0.3,2.0,0.4,0.1,0.4,2.3,0.2,10.1,0.6,0.3,0.3,7.1,4.1,3.7,3.7,0.4,0.0,25.5,9.3,0.5,0.2,1.0,0.0
24,3.2,33.0,6.2,1.2,0.1,0.7,3.2,0.5,0.4,0.4,3.5,0.3,9.6,0.4,0.2,0.5,6.8,4.5,4.2,4.2,0.2,0.0,28.8,9.7,0.7,0.1,0.9,0.0,3.3,33.6,8.0,1.5,0.1,0.7,3.2,0.2,0.2,0.3,2.3,0.1,7.5,0.1,0.1,0.9,6.3,3.3,1.4,1.4,0.1,0.1,25.7,9.3,0.8,0.0,0.8,0.0
25,5.0,37.6,9.6,1.1,0.2,1.0,4.8,0.3,0.0,0.8,4.1,0.2,7.3,0.7,0.3,0.8,8.4,3.9,3.7,3.7,0.3,0.0,30.6,13.7,0.3,0.0,0.9,0.0,4.1,35.1,9.7,2.0,0.2,0.6,3.8,0.4,0.5,0.2,2.8,0.1,8.2,1.1,0.4,0.6,8.0,3.3,3.9,3.9,0.0,0.1,25.4,10.1,0.5,0.0,1.0,0.0
26,4.6,34.1,9.2,1.7,0.4,1.2,4.5,0.2,0.3,0.1,5.2,0.2,6.3,0.9,0.1,0.7,9.1,3.9,2.7,2.7,0.6,0.0,27.9,10.9,1.1,0.0,0.9,0.0,4.5,32.9,8.7,2.0,0.1,0.5,4.2,0.5,0.6,0.5,3.6,0.3,6.4,1.5,0.3,0.8,7.2,4.1,3.6,3.6,0.3,0.0,25.8,10.2,0.9,0.0,1.9,0.0
27,5.0,33.5,9.4,1.5,0.1,0.9,4.8,0.2,0.3,0.3,3.9,0.2,8.2,0.7,0.3,0.8,7.7,4.0,3.8,3.8,0.5,0.0,27.0,9.8,0.4,0.0,0.6,0.0,3.9,35.3,8.4,1.6,0.3,0.7,3.3,0.3,0.2,0.5,2.2,0.3,8.2,0.5,0.3,0.8,6.6,4.0,4.8,4.8,0.3,0.0,26.4,9.7,0.4,0.0,1.4,0.0
28,6.7,34.2,11.5,2.5,0.2,1.7,6.6,0.2,0.6,0.3,2.6,0.4,5.5,0.7,0.2,1.1,6.3,4.2,3.4,3.4,0.3,0.1,27.0,12.5,1.0,0.2,1.0,0.0,3.6,32.8,6.8,1.4,0.0,1.2,3.4,0.4,0.1,0.0,3.2,0.2,8.7,0.5,0.1,0.7,5.9,3.5,3.4,3.4,0.3,0.0,25.5,10.8,0.4,0.1,0.8,0.0
29,3.5,32.5,7.8,2.0,0.1,0.7,3.4,0.0,0.4,0.2,3.7,0.0,6.7,0.6,0.1,0.9,7.5,4.6,4.0,4.0,0.4,0.0,27.0,9.7,1.0,0.3,0.7,0.0,3.5,34.4,7.9,2.5,0.1,0.4,3.3,0.3,0.2,0.1,2.6,0.0,5.2,0.6,0.3,1.0,6.2,3.2,2.9,2.9,0.4,0.0,26.4,8.0,1.0,0.1,0.3,0.0
30,5.7,34.9,9.9,2.3,0.1,1.2,5.4,0.3,0.2,0.4,4.0,0.3,7.2,0.1,0.1,1.0,8.0,4.2,3.5,3.5,0.2,0.0,27.9,8.9,0.3,0.1,0.4,0.0,5.3,35.3,9.1,2.0,0.2,0.7,4.9,0.2,0.2,0.5,4.4,0.2,10.2,0.5,0.2,0.8,7.7,4.3,5.6,5.6,0.6,0.1,26.0,10.9,0.3,0.0,0.9,0.0
31,4.9,33.7,10.3,2.1,0.1,0.9,4.7,0.0,0.6,0.4,3.4,0.2,5.2,1.1,0.4,0.7,8.0,4.2,4.0,4.0,0.0,0.2,27.0,9.2,0.8,0.0,1.2,0.0,5.6,35.6,9.7,2.1,0.1,1.1,5.3,0.0,0.4,0.5,2.4,0.2,7.6,0.8,0.1,0.9,6.3,3.3,5.4,5.4,0.6,0.0,25.2,11.9,0.8,0.1,1.3,0.0
32,3.7,34.0,7.8,2.0,0.1,1.2,3.6,0.2,0.3,0.0,2.2,0.2,9.9,1.2,0.4,0.5,5.3,5.0,3.8,3.8,0.3,0.0,28.8,11.8,1.3,0.0,1.2,0.0,3.9,35.4,8.7,1.5,0.2,0.8,3.6,0.1,0.4,0.3,2.4,0.4,7.5,0.5,0.2,0.5,7.5,4.0,3.9,3.9,0.2,0.0,26.0,11.3,0.4,0.0,0.5,0.0
33,4.5,34.3,9.3,2.4,0.1,0.8,4.0,0.1,0.1,0.4,3.2,0.2,8.3,0.2,0.3,1.6,7.0,4.0,4.7,4.7,0.3,0.0,27.6,10.7,0.8,0.2,1.0,0.0,4.8,36.5,9.8,2.3,0.4,0.5,4.6,0.1,0.2,0.3,3.1,0.2,9.1,0.9,0.2,0.7,7.5,3.9,4.4,4.4,0.2,0.0,26.7,10.1,0.7,0.1,1.1,0.1
34,3.7,31.7,6.5,1.0,0.1,0.8,3.0,0.0,0.1,0.4,3.6,0.2,8.5,0.3,0.0,0.5,6.7,4.0,2.4,2.4,0.1,0.0,27.0,10.3,1.1,0.0,0.8,0.0,4.8,34.9,8.6,1.7,0.3,1.2,4.8,0.0,0.2,0.5,2.5,0.2,7.4,0.8,0.3,0.5,6.3,3.3,2.7,2.7,0.4,0.0,25.8,7.9,1.1,0.0,0.7,0.0
35,2.4,31.1,6.0,1.0,0.1,0.7,2.1,0.5,0.2,0.3,2.8,0.2,8.0,0.8,0.2,0.8,6.1,3.7,2.5,2.5,0.2,0.0,27.9,11.6,0.3,0.0,0.8,0.0,2.3,34.2,6.9,1.8,0.1,0.4,2.0,0.5,0.1,0.4,2.1,0.2,10.1,0.7,0.3,0.4,7.1,4.2,3.2,3.2,0.4,0.0,26.4,9.6,0.7,0.2,0.9,0.0
36,2.5,32.4,5.9,1.2,0.1,0.4,2.5,0.4,0.3,0.4,3.4,0.3,8.2,0.4,0.3,0.6,6.9,4.1,3.6,3.6,0.2,0.0,28.5,9.4,0.7,0.0,1.0,0.0,3.0,33.7,8.3,1.4,0.1,0.5,2.9,0.2,0.1,0.3,2.3,0.1,7.5,0.2,0.2,0.9,6.6,3.2,1.3,1.3,0.1,0.1,25.7,9.0,0.8,0.0,1.0,0.0
37,4.7,35.4,9.1,1.1,0.2,1.1,4.6,0.2,0.0,0.5,3.5,0.1,6.2,0.7,0.3,0.7,7.4,3.5,3.8,3.8,0.3,0.0,28.5,13.6,0.1,0.0,0.7,0.0,4.2,35.3,9.9,2.1,0.2,0.5,3.9,0.4,0.5,0.3,2.3,0.1,7.7,1.3,0.3,0.5,7.7,3.1,3.6,3.6,0.0,0.1,25.7,10.7,0.6,0.0,1.1,0.0
38,5.5,32.9,8.9,1.5,0.1,1.0,5.3,0.3,0.4,0.3,4.1,0.2,8.8,0.7,0.3,0.7,7.0,4.2,4.0,3.9,0.5,0.0,27.0,10.2,0.6,0.0,0.4,0.0,4.2,35.6,8.8,1.6,0.4,0.6,3.7,0.3,0.2,0.5,2.3,0.3,8.1,0.3,0.3,0.8,6.7,4.1,4.2,4.2,0.4,0.0,26.7,9.1,0.5,0.0,1.4,0.0
39,2.8,31.9,6.0,0.9,0.2,1.3,2.6,0.0,0.1,0.4,2.9,0.1,9.7,0.6,0.1,0.6,5.8,3.4,5.0,5.0,0.1,0.0,27.6,12.1,0.4,0.0,0.7,0.0,5.1,37.2,9.4,2.4,0.0,1.0,4.8,0.0,0.2,0.5,3.9,0.2,8.7,0.5,0.0,0.6,7.6,4.3,3.5,3.5,0.2,0.0,28.7,9.3,0.9,0.2,0.4,0.0
40,3.7,32.9,8.4,1.9,0.2,0.7,3.6,0.0,0.3,0.3,3.5,0.0,6.8,0.8,0.3,0.7,7.8,4.7,3.6,3.6,0.3,0.0,27.0,9.9,1.1,0.1,0.8,0.0,3.5,34.6,8.2,2.2,0.1,0.6,3.3,0.3,0.2,0.1,2.5,0.0,5.9,0.6,0.3,1.0,6.3,3.1,2.9,2.9,0.3,0.0,26.3,8.0,1.2,0.1,0.3,0.0
41,6.1,36.2,10.4,2.3,0.1,1.2,5.8,0.3,0.4,0.5,4.3,0.3,6.5,0.3,0.1,0.9,8.6,4.3,3.8,3.8,0.0,0.0,28.8,9.0,0.3,0.1,0.5,0.0,5.6,36.6,9.6,2.0,0.2,0.8,5.2,0.1,0.3,0.5,4.9,0.3,10.6,0.5,0.2,0.8,8.3,4.6,5.4,5.4,0.7,0.1,27.2,11.3,0.4,0.0,0.7,0.0
42,4.3,33.1,9.2,1.9,0.1,0.7,4.2,0.0,0.6,0.1,3.6,0.2,5.3,1.0,0.4,0.7,7.6,4.2,4.2,4.2,0.0,0.2,27.0,9.4,0.7,0.0,1.2,0.0,5.9,35.5,9.8,2.3,0.1,1.3,5.6,0.0,0.3,0.4,2.4,0.2,7.5,0.8,0.3,0.9,5.7,3.4,5.4,5.4,0.6,0.0,25.5,11.8,0.7,0.0,1.3,0.0
43,3.8,33.8,8.0,2.3,0.2,1.1,3.7,0.2,0.4,0.0,2.1,0.2,9.5,0.9,0.4,0.5,5.3,4.8,3.4,3.4,0.3,0.0,28.8,11.7,1.1,0.0,1.1,0.0,3.9,35.3,8.4,1.5,0.2,0.9,3.6,0.0,0.4,0.3,2.4,0.4,7.7,0.5,0.1,0.5,7.3,3.9,4.1,4.1,0.1,0.0,25.9,11.4,0.4,0.0,0.4,0.0
44,4.4,33.8,9.6,2.3,0.2,0.7,3.9,0.1,0.1,0.4,3.3,0.2,7.6,0.2,0.3,1.5,7.6,3.5,4.1,4.1,0.1,0.0,27.0,10.5,0.6,0.2,0.9,0.0,4.8,36.6,9.9,2.4,0.4,0.5,4.7,0.1,0.3,0.3,2.8,0.2,9.5,0.9,0.2,0.6,7.4,4.0,4.4,4.4,0.3,0.0,26.7,9.9,0.9,0.1,1.1,0.1
45,4.0,32.5,7.2,1.1,0.1,0.8,3.4,0.0,0.1,0.4,3.9,0.2,8.3,0.4,0.0,0.5,7.4,4.0,2.6,2.6,0.2,0.0,27.0,10.8,1.1,0.0,1.0,0.0,2.1,34.0,6.7,1.8,0.1,0.4,1.9,0.4,0.2,0.3,2.0,0.1,9.6,0.8,0.3,0.4,6.9,3.9,3.1,3.1,0.4,0.0,26.1,9.8,0.7,0.2,0.8,0.0
46,2.7,32.4,6.0,1.1,0.0,0.5,2.7,0.4,0.2,0.4,3.8,0.3,8.3,0.4,0.3,0.6,7.3,4.3,3.3,3.3,0.1,0.0,28.5,9.8,0.7,0.0,1.0,0.0,3.1,34.5,9.1,1.8,0.0,0.5,3.0,0.2,0.1,0.3,2.3,0.0,7.3,0.2,0.2,0.8,7.3,3.5,1.4,1.4,0.1,0.2,25.7,8.4,0.9,0.0,0.8,0.0
47,4.7,35.5,9.1,1.0,0.2,1.2,4.6,0.3,0.0,0.5,3.8,0.1,5.9,0.7,0.3,0.7,7.9,3.6,3.8,3.8,0.4,0.0,28.5,13.5,0.5,0.0,0.6,0.0,4.4,35.0,9.8,2.0,0.2,0.3,4.0,0.4,0.5,0.4,2.9,0.2,7.6,1.7,0.4,0.5,7.9,3.2,3.2,3.2,0.0,0.0,26.0,11.2,0.6,0.0,1.0,0.0
48,5.4,36.3,9.5,1.6,0.2,1.4,5.1,0.2,0.3,0.3,4.1,0.3,10.5,0.6,0.1,0.5,8.0,4.8,4.7,4.7,0.7,0.0,29.1,11.1,0.8,0.1,0.9,0.0,2.0,32.8,6.4,1.2,0.0,1.0,2.0,0.0,0.0,0.2,2.8,0.0,8.2,0.1,0.2,0.5,6.5,4.3,3.4,3.4,0.3,0.0,26.4,8.9,0.4,0.0,0.8,0.0
49,2.3,32.1,6.1,0.9,0.2,1.1,2.1,0.0,0.1,0.5,3.1,0.1,9.6,0.5,0.1,0.8,6.5,3.4,5.8,5.8,0.1,0.1,27.6,12.2,0.9,0.0,0.7,0.0,5.8,37.6,9.7,2.1,0.0,1.3,5.5,0.0,0.2,0.6,4.2,0.2,7.9,0.6,0.0,0.6,7.8,4.1,2.8,2.8,0.1,0.0,28.7,9.5,0.9,0.2,0.5,0.0
50,3.4,34.2,8.7,2.1,0.1,0.8,3.3,0.1,0.3,0.3,1.8,0.1,8.0,0.7,0.1,0.5,6.6,4.5,6.1,6.1,0.4,0.0,27.0,9.7,0.9,0.0,0.3,0.0,4.3,35.7,8.6,1.8,0.2,0.8,4.1,0.0,0.4,0.4,2.6,0.6,7.7,0.6,0.1,0.5,7.5,4.0,4.0,4.0,0.1,0.0,26.1,11.1,0.1,0.0,0.3,0.0
51,3.9,34.3,8.2,2.1,0.2,1.3,3.8,0.2,0.4,0.0,2.0,0.2,9.0,0.9,0.3,0.4,5.6,4.6,3.2,3.2,0.3,0.0,28.8,11.5,1.2,0.0,1.0,0.0,3.6,33.8,8.6,1.9,0.1,0.6,3.3,0.4,0.5,0.0,2.8,0.1,7.7,0.8,0.2,0.8,6.6,4.3,3.7,3.7,0.5,0.1,25.5,11.8,0.3,0.1,1.4,0.0
52,3.8,34.4,8.0,1.1,0.1,1.0,3.3,0.0,0.2,0.4,3.8,0.3,8.4,0.6,0.0,0.5,8.3,4.0,3.0,3.0,0.2,0.0,27.9,11.5,1.2,0.0,1.1,0.0,2.5,35.2,7.2,2.0,0.1,0.4,2.3,0.4,0.2,0.3,2.2,0.1,9.3,0.8,0.4,0.5,7.0,4.1,3.3,3.3,0.5,0.0,27.0,10.0,0.7,0.3,0.7,0.0
53,2.7,31.1,6.3,1.1,0.1,0.8,2.4,0.5,0.2,0.3,2.6,0.2,7.5,0.7,0.4,0.6,5.9,3.7,2.1,2.1,0.2,0.0,27.9,11.7,0.4,0.0,0.8,0.0,3.0,36.4,8.3,1.4,0.2,0.9,2.8,0.5,0.2,0.5,2.6,0.3,9.7,0.7,0.3,0.8,7.2,4.5,4.2,4.2,0.2,0.0,28.3,11.1,0.6,0.2,1.4,0.0
54,2.9,32.2,6.0,1.0,0.1,0.6,2.9,0.4,0.1,0.5,3.6,0.3,8.5,0.4,0.3,0.6,7.0,4.2,2.7,2.7,0.1,0.0,28.5,9.3,0.6,0.0,0.8,0.0,2.7,33.4,7.3,1.1,0.3,0.9,2.6,0.5,0.3,0.3,3.3,0.2,11.0,0.4,0.2,0.3,7.9,4.0,4.3,4.3,0.4,0.1,25.4,8.4,0.8,0.0,0.8,0.0
