,Home Score SMA,Home At-bats SMA,Home Hits SMA,Home Doubles SMA,Home Triples SMA,Home Homeruns SMA,Home RBIs SMA,Home Sacrifice Hits SMA,Home Sacrifice Flies SMA,Home Hit-by-pitch SMA,Home Walks SMA,Home Intentional Walks SMA,Home Strikeouts SMA,Home Stolen Bases SMA,Home Caught Stealing SMA,Home Grounded into DP SMA,Home Left on Base SMA,Home Pitchers Used SMA,Home Individual Earned Runs SMA,Home Earned Runs SMA,Home Wild Pitches SMA,Home Balks SMA,Home Putouts SMA,Home Assists SMA,Home Errors SMA,Home Passed Balls SMA,Home Double Plays SMA,Home Triple Plays SMA,Visiting Score SMA,Visiting At-bats SMA,Visiting Hits SMA,Visiting Doubles SMA,Visiting Triples SMA,Visiting Homeruns SMA,Visiting RBIs SMA,Visiting Sacrifice Hits SMA,Visiting Sacrifice Flies SMA,Visiting Hit-by-pitch SMA,Visiting Walks SMA,Visiting Intentional Walks SMA,Visiting Strikeouts SMA,Visiting Stolen Bases SMA,Visiting Caught Stealing SMA,Visiting Grounded into DP SMA,Visiting Left on Base SMA,Visiting Pitchers Used SMA,Visiting Individual Earned Runs SMA,Visiting Earned Runs SMA,Visiting Wild Pitches SMA,Visiting Balks SMA,Visiting Putouts SMA,Visiting Assists SMA,Visiting Errors SMA,Visiting Passed Balls SMA,Visiting Double Plays SMA,Visiting Triple Plays SMA
0,3.8,34.6,8.9,2.0,0.1,0.7,3.7,0.1,0.3,0.3,2.6,0.1,8.7,0.7,0.1,0.7,7.4,4.6,5.7,5.7,0.6,0.0,27.0,10.3,1.0,0.0,0.4,0.0,4.7,36.1,9.2,1.3,0.1,1.0,4.4,0.3,0.2,0.2,3.6,0.0,10.2,1.1,0.5,0.5,7.0,4.2,4.4,4.4,1.1,0.0,28.6,10.8,0.2,0.0,0.7,0.0
1,3.7,34.3,8.7,1.9,0.1,0.7,3.6,0.1,0.3,0.3,2.6,0.1,8.3,0.7,0.1,0.7,7.2,4.6,6.3,6.3,0.5,0.0,27.0,10.2,1.0,0.0,0.4,0.0,5.2,36.8,9.5,1.1,0.1,0.9,4.8,0.3,0.3,0.2,3.4,0.0,10.5,1.1,0.5,0.4,6.8,4.2,4.2,4.2,1.0,0.0,28.6,10.3,0.2,0.0,0.7,0.0
2,3.1,31.4,7.5,1.6,0.3,0.7,2.7,0.4,0.1,0.0,2.4,0.0,7.7,0.5,0.1,1.3,5.8,3.9,2.5,2.5,0.1,0.0,27.0,9.5,1.0,0.0,0.9,0.0,4.2,34.0,7.9,1.7,0.0,1.1,4.2,0.4,0.3,0.2,3.4,0.2,9.2,0.3,0.1,0.4,7.1,4.6,4.5,4.5,0.2,0.0,26.4,10.8,0.4,0.1,1.1,0.0
3,5.8,33.5,9.8,2.3,0.3,0.6,5.5,0.6,0.4,0.2,2.9,0.2,8.1,0.4,0.0,0.1,6.6,3.4,3.0,3.0,0.6,0.0,27.0,10.8,1.1,0.0,0.9,0.0,4.9,36.3,9.1,1.8,0.4,1.1,4.8,0.0,0.2,0.3,3.0,0.3,7.9,0.5,0.3,0.2,7.0,4.1,3.1,3.1,0.7,0.0,26.6,9.8,0.6,0.0,1.1,0.0
4,4.1,33.7,9.1,2.0,0.2,0.5,3.7,0.6,0.2,0.4,3.9,0.8,7.0,0.9,0.5,1.0,8.0,4.0,3.6,3.6,0.3,0.0,28.2,10.6,0.8,0.2,0.9,0.0,5.6,33.8,9.1,1.6,0.1,1.3,5.3,0.1,0.4,0.9,3.0,0.1,7.9,0.6,0.2,0.9,6.5,3.7,4.0,4.0,0.3,0.0,25.8,11.2,0.7,0.1,1.0,0.0
5,3.0,31.5,7.5,1.6,0.4,0.7,2.5,0.2,0.1,0.0,2.2,0.0,7.5,0.4,0.1,1.2,5.6,3.6,2.5,2.5,0.0,0.0,27.0,9.3,1.0,0.0,1.0,0.0,4.1,33.6,7.6,1.6,0.0,1.2,4.1,0.4,0.1,0.1,2.8,0.2,9.1,0.5,0.1,0.5,5.9,4.1,3.7,3.7,0.2,0.0,26.1,10.3,0.4,0.2,1.0,0.0
6,5.6,33.3,9.7,2.0,0.3,0.7,5.3,0.4,0.4,0.2,3.1,0.4,7.4,0.4,0.1,0.2,6.6,3.5,3.0,3.0,0.6,0.0,27.0,11.0,1.3,0.0,0.9,0.0,4.3,36.5,9.1,1.7,0.3,1.0,4.0,0.0,0.1,0.3,2.4,0.3,7.4,0.4,0.2,0.3,7.1,4.1,3.6,3.6,0.6,0.0,26.3,10.7,0.7,0.0,1.2,0.0
7,4.3,33.7,9.5,2.1,0.3,0.6,4.0,0.6,0.2,0.5,3.9,0.9,7.1,1.1,0.5,1.1,8.2,3.6,2.2,2.2,0.2,0.0,28.2,10.7,0.7,0.2,0.9,0.0,4.8,33.5,8.3,1.5,0.0,1.0,4.5,0.1,0.4,0.9,2.5,0.1,7.9,0.6,0.1,0.8,6.2,3.5,5.2,5.2,0.5,0.0,25.5,11.3,0.6,0.1,1.2,0.0
8,3.1,31.3,7.8,1.7,0.5,0.6,2.7,0.4,0.1,0.0,1.8,0.0,7.1,0.6,0.1,1.0,5.4,3.4,2.3,2.3,0.0,0.0,27.0,9.1,0.8,0.0,1.1,0.0,4.2,33.2,7.3,1.6,0.0,1.3,4.2,0.4,0.1,0.0,2.8,0.2,8.6,0.5,0.1,0.6,5.3,4.0,3.8,3.8,0.2,0.0,25.8,10.5,0.5,0.2,0.9,0.0
9,6.0,33.6,9.8,2.6,0.1,1.2,5.5,0.2,0.3,0.6,4.4,0.2,6.7,0.3,0.1,0.9,7.9,4.1,3.3,3.3,0.3,0.0,27.0,9.3,0.3,0.1,0.5,0.0,4.4,34.1,8.6,1.7,0.3,0.7,4.3,0.1,0.3,0.5,2.7,0.1,8.1,0.9,0.1,0.6,6.6,3.8,5.0,5.0,0.3,0.0,25.5,9.5,0.5,0.1,1.0,0.1
