Date,Number of game,Team,At-bats 14 Game Window,Hits 14 Game Window,RBIs 14 Game Window,Team Earned Runs 14 Game Window,BA 14 Game Window,SLG 14 Game Window,OBP 14 Game Window,OPS 14 Game Window,ISO 14 Game Window
2018-08-24,0,NYN,520.0,144.0,82.0,48.0,0.27692307692307694,0.47307692307692306,0.3368237347294939,0.809900657806417,0.19615384615384612
2018-08-25,0,NYN,513.0,146.0,82.0,44.0,0.28460038986354774,0.4834307992202729,0.33868092691622104,0.8221117261364939,0.19883040935672514
2018-08-26,0,NYN,514.0,149.0,81.0,41.0,0.2898832684824903,0.490272373540856,0.3416815742397138,0.8319539477805697,0.2003891050583657
2018-08-27,0,NYN,503.0,137.0,74.0,52.0,0.27236580516898606,0.44532803180914515,0.3290909090909091,0.7744189409000543,0.1729622266401591
2018-08-28,0,NYN,504.0,138.0,76.0,53.0,0.27380952380952384,0.45436507936507936,0.33152173913043476,0.7858868184955141,0.18055555555555552
2018-08-29,0,NYN,499.0,127.0,62.0,50.0,0.2545090180360721,0.40480961923847697,0.3137614678899083,0.7185710871283852,0.15030060120240485
2018-08-31,0,NYN,489.0,118.0,53.0,49.0,0.24130879345603273,0.37014314928425357,0.2962264150943396,0.6663695643785932,0.12883435582822084
2018-09-01,0,NYN,481.0,112.0,47.0,49.0,0.23284823284823286,0.3575883575883576,0.28378378378378377,0.6413721413721414,0.12474012474012475
2018-09-02,0,NYN,486.0,113.0,47.0,46.0,0.23251028806584362,0.36213991769547327,0.28435114503816794,0.6464910627336412,0.12962962962962965
2018-09-03,0,NYN,483.0,113.0,48.0,47.0,0.23395445134575568,0.36231884057971014,0.28735632183908044,0.6496751624187906,0.12836438923395446
2018-09-04,0,NYN,480.0,110.0,44.0,47.0,0.22916666666666666,0.3645833333333333,0.28598848368522073,0.650571817018554,0.13541666666666666
2018-09-05,0,NYN,472.0,113.0,47.0,56.0,0.23940677966101695,0.3961864406779661,0.29354207436399216,0.6897285150419583,0.15677966101694915
2018-09-07,0,NYN,480.0,117.0,45.0,56.0,0.24375,0.3875,0.2972972972972973,0.6847972972972973,0.14375000000000002
2018-09-08,0,NYN,475.0,111.0,43.0,57.0,0.2336842105263158,0.3663157894736842,0.2884990253411306,0.6548148148148147,0.1326315789473684
2018-09-09,0,NYN,478.0,117.0,52.0,60.0,0.24476987447698745,0.3912133891213389,0.30326295585412666,0.6944763449754656,0.14644351464435146
2018-09-11,0,NYN,481.0,118.0,55.0,64.0,0.24532224532224534,0.3991683991683992,0.31001890359168244,0.7091873027600817,0.15384615384615385
2018-09-12,0,NYN,482.0,115.0,55.0,69.0,0.23858921161825727,0.3921161825726141,0.3102803738317757,0.7023965564043898,0.15352697095435683
2018-09-13,1,NYN,491.0,126.0,67.0,54.0,0.25661914460285135,0.43380855397148677,0.32287822878228783,0.7566867827537747,0.17718940936863542
2018-09-13,2,NYN,486.0,122.0,67.0,50.0,0.25102880658436216,0.4382716049382716,0.31716417910447764,0.7554357840427492,0.18724279835390945
2018-09-14,0,NYN,480.0,123.0,71.0,50.0,0.25625,0.4479166666666667,0.3187855787476281,0.7667022454142948,0.1916666666666667
2018-09-15,0,NYN,473.0,116.0,69.0,47.0,0.2452431289640592,0.45665961945031713,0.3148854961832061,0.7715451156335232,0.21141649048625794
2018-09-16,0,NYN,473.0,115.0,72.0,44.0,0.24312896405919662,0.45665961945031713,0.31688804554079697,0.7735476649911142,0.2135306553911205
2018-09-17,0,NYN,466.0,114.0,73.0,47.0,0.2446351931330472,0.4570815450643777,0.3218390804597701,0.7789206255241479,0.2124463519313305
2018-09-18,0,NYN,472.0,121.0,78.0,50.0,0.2563559322033898,0.4703389830508475,0.33081285444234404,0.8011518374931915,0.21398305084745767
2018-09-19,0,NYN,471.0,116.0,76.0,53.0,0.24628450106157113,0.4607218683651805,0.32196969696969696,0.7826915653348774,0.21443736730360935
2018-09-20,0,NYN,465.0,111.0,72.0,47.0,0.23870967741935484,0.4344086021505376,0.3173996175908222,0.7518082197413598,0.19569892473118278
2018-09-21,0,NYN,470.0,108.0,73.0,48.0,0.2297872340425532,0.44042553191489364,0.3146067415730337,0.7550322734879273,0.21063829787234045
2018-09-22,0,NYN,475.0,113.0,74.0,46.0,0.23789473684210527,0.4421052631578947,0.3247232472324723,0.766828510390367,0.20421052631578945
2018-09-23,0,NYN,469.0,103.0,64.0,47.0,0.21961620469083157,0.4051172707889126,0.3076923076923077,0.7128095784812203,0.185501066098081
2018-09-25,0,NYN,473.0,108.0,66.0,49.0,0.22832980972515857,0.4080338266384778,0.31666666666666665,0.7247004933051444,0.17970401691331925
2018-09-26,0,NYN,473.0,109.0,66.0,49.0,0.23044397463002114,0.39957716701902746,0.32044198895027626,0.7200191559693037,0.16913319238900631
2018-09-27,0,NYN,464.0,101.0,57.0,49.0,0.21767241379310345,0.3793103448275862,0.3121495327102804,0.6914598775378666,0.16163793103448273
2018-09-28,0,NYN,464.0,102.0,57.0,47.0,0.21982758620689655,0.375,0.31529850746268656,0.6902985074626866,0.15517241379310345
2018-09-29,0,NYN,461.0,98.0,53.0,49.0,0.21258134490238612,0.3600867678958785,0.31343283582089554,0.6735196037167741,0.1475054229934924
2018-09-30,0,NYN,469.0,100.0,46.0,49.0,0.21321961620469082,0.3326226012793177,0.3125,0.6451226012793176,0.11940298507462688
2019-03-28,0,NYN,467.0,102.0,44.0,45.0,0.21841541755888652,0.3340471092077088,0.3148148148148148,0.6488619240225236,0.11563169164882228
2019-03-30,0,NYN,468.0,101.0,43.0,41.0,0.21581196581196582,0.3333333333333333,0.3104089219330855,0.6437422552664188,0.11752136752136749
2019-03-31,0,NYN,470.0,101.0,44.0,41.0,0.2148936170212766,0.32978723404255317,0.31365313653136534,0.6434403705739185,0.11489361702127657
2019-04-01,0,NYN,476.0,108.0,46.0,42.0,0.226890756302521,0.33613445378151263,0.32051282051282054,0.6566472742943332,0.10924369747899162
2019-04-02,0,NYN,480.0,112.0,52.0,39.0,0.23333333333333334,0.35833333333333334,0.32667876588021777,0.6850120992135511,0.125
2019-04-03,0,NYN,475.0,111.0,53.0,40.0,0.2336842105263158,0.3410526315789474,0.3284403669724771,0.6694929985514244,0.10736842105263159
2019-04-04,0,NYN,478.0,113.0,55.0,42.0,0.23640167364016737,0.3493723849372385,0.32783882783882784,0.6772112127760663,0.11297071129707112
2019-04-06,0,NYN,482.0,116.0,55.0,40.0,0.24066390041493776,0.35269709543568467,0.3284671532846715,0.6811642487203562,0.1120331950207469
2019-04-07,0,NYN,477.0,113.0,53.0,38.0,0.23689727463312368,0.3731656184486373,0.31902985074626866,0.6921954691949059,0.13626834381551364
2019-04-09,0,NYN,481.0,118.0,59.0,45.0,0.24532224532224534,0.39501039501039503,0.3252788104089219,0.720289205419317,0.1496881496881497
2019-04-10,0,NYN,489.0,123.0,64.0,56.0,0.25153374233128833,0.4130879345603272,0.3333333333333333,0.7464212678936606,0.16155419222903888
2019-04-11,0,NYN,487.0,123.0,69.0,61.0,0.25256673511293637,0.4004106776180698,0.34296028880866425,0.7433709664267341,0.14784394250513344
2019-04-12,0,NYN,490.0,125.0,74.0,60.0,0.25510204081632654,0.4142857142857143,0.34587813620071683,0.7601638504864312,0.15918367346938778
2019-04-13,0,NYN,484.0,124.0,79.0,62.0,0.256198347107438,0.4297520661157025,0.3466424682395644,0.776394534355267,0.1735537190082645
2019-04-14,0,NYN,492.0,131.0,84.0,73.0,0.266260162601626,0.44308943089430897,0.35701598579040855,0.8001054166847175,0.17682926829268297
2019-04-15,0,NYN,499.0,137.0,85.0,80.0,0.2745490981963928,0.4529058116232465,0.36203866432337434,0.8149444759466209,0.17835671342685372
2019-04-16,0,NYN,503.0,135.0,81.0,82.0,0.268389662027833,0.4433399602385686,0.35714285714285715,0.8004828173814258,0.1749502982107356
2019-04-17,0,NYN,497.0,132.0,80.0,85.0,0.2655935613682093,0.45472837022132795,0.3572679509632224,0.8119963211845503,0.18913480885311867
2019-04-19,0,NYN,492.0,129.0,76.0,87.0,0.2621951219512195,0.44308943089430897,0.3551236749116608,0.7982131058059698,0.18089430894308944
2019-04-20,0,NYN,491.0,131.0,75.0,85.0,0.2668024439918534,0.45824847250509165,0.35815602836879434,0.816404500873886,0.19144602851323828
2019-04-21,0,NYN,484.0,125.0,71.0,90.0,0.25826446280991733,0.44008264462809915,0.35071942446043164,0.7908020690885308,0.18181818181818182
2019-04-22,0,NYN,487.0,128.0,75.0,90.0,0.26283367556468173,0.4681724845995893,0.35650623885918004,0.8246787234587694,0.2053388090349076
2019-04-23,0,NYN,487.0,126.0,74.0,87.0,0.2587268993839836,0.43737166324435317,0.35346358792184723,0.7908352511662005,0.1786447638603696
