Date,Number of game,Team,At-bats 14 Game Window,Hits 14 Game Window,RBIs 14 Game Window,Team Earned Runs 14 Game Window,BA 14 Game Window,SLG 14 Game Window,OBP 14 Game Window,OPS 14 Game Window,ISO 14 Game Window
2017-07-02,0,CLE,492.0,138.0,66.0,45.0,0.2804878048780488,0.42073170731707316,0.35495495495495494,0.7756866622720281,0.14024390243902435
2017-07-04,0,CLE,497.0,141.0,72.0,50.0,0.2837022132796781,0.4346076458752515,0.3623445825932504,0.796952228468502,0.15090543259557343
2017-07-05,0,CLE,484.0,129.0,61.0,51.0,0.2665289256198347,0.39669421487603307,0.344954128440367,0.7416483433164001,0.13016528925619836
2017-07-06,0,CLE,487.0,132.0,58.0,50.0,0.27104722792607805,0.4004106776180698,0.34011090573012936,0.7405215833481992,0.12936344969199176
2017-07-07,0,CLE,486.0,135.0,64.0,51.0,0.2777777777777778,0.4279835390946502,0.3462246777163904,0.7742082168110407,0.1502057613168724
2017-07-08,0,CLE,485.0,138.0,69.0,50.0,0.2845360824742268,0.44123711340206184,0.3553113553113553,0.7965484687134172,0.15670103092783505
2017-07-09,0,CLE,484.0,143.0,73.0,46.0,0.29545454545454547,0.4669421487603306,0.36446886446886445,0.831411013229195,0.1714876033057851
2017-07-14,0,CLE,485.0,143.0,75.0,49.0,0.2948453608247423,0.465979381443299,0.3626373626373626,0.8286167440806615,0.1711340206185567
2017-07-15,0,CLE,481.0,138.0,75.0,50.0,0.2869022869022869,0.4594594594594595,0.35608856088560886,0.8155480203450683,0.17255717255717257
2017-07-16,0,CLE,471.0,124.0,63.0,46.0,0.2632696390658174,0.43524416135881105,0.3333333333333333,0.7685774946921444,0.17197452229299365
2017-07-17,0,CLE,476.0,129.0,65.0,51.0,0.2710084033613445,0.45588235294117646,0.3395872420262664,0.7954695949674429,0.18487394957983194
2017-07-18,0,CLE,480.0,126.0,63.0,51.0,0.2625,0.45208333333333334,0.32771535580524347,0.7797986891385769,0.18958333333333333
2017-07-19,0,CLE,481.0,124.0,60.0,51.0,0.2577962577962578,0.4386694386694387,0.32209737827715357,0.7607668169465922,0.18087318087318088
2017-07-21,0,CLE,484.0,127.0,60.0,46.0,0.26239669421487605,0.44008264462809915,0.3302411873840445,0.7703238320121437,0.1776859504132231
2017-07-22,0,CLE,490.0,136.0,69.0,48.0,0.27755102040816326,0.46938775510204084,0.3467153284671533,0.8161030835691941,0.19183673469387758
