,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID
10,ARI201403310,9,8,pagaa001,beltb001,sandp001,poseb001,pench001,morsm001,crawb001,ariaj001,bumgm001,polla001,hilla001,goldp001,pradm001,trumm001,montm001,owinc001,parrg001,mccab001
11,CIN201403310,1,0,carpm002,wongk001,hollm001,craia001,moliy001,adamm002,peraj001,bourp001,waina001,hamib001,philb001,vottj001,brucj001,ludwr001,frazt001,cozaz001,penab002,cuetj001
12,MIA201403310,1,10,blacc001,cuddm001,gonzc001,tulot001,mornj001,rosaw001,arenn001,lemad001,delaj001,yelic001,bakej001,stanm004,mcgec001,joneg002,saltj001,ozunm001,hecha001,fernj003
13,MIL201403310,0,2,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,gatte001,simma001,tehej001,gomec002,seguj002,braur002,ramia001,lucrj001,davik003,overl001,genns001,gally001
14,NYN201403310,9,7,spand001,zimmr001,wertj001,ramow001,harpb003,desmi001,laroa001,renda001,stras001,youne003,lagaj001,wrigd002,granc001,browa003,davii001,darnt001,tejar001,gee-d001
15,PIT201403310,0,1,bonie001,lakej001,casts001,rizza001,olt-m001,castw002,schin001,barnd001,samaj001,marts002,snidt001,mccua001,alvap001,martr004,walkn001,ishit001,mercj002,lirif001
16,ANA201404010,8,3,almoa001,millb002,canor001,smoaj001,hartc001,seagk001,romes001,ackld001,buckj001,calhk001,troum001,pujoa001,hamij003,freed001,ibanr001,kendh001,congh001,aybae001
17,HOU201404010,2,6,ellsj001,jeted001,beltc001,mccab002,teixm001,soria001,gardb001,robeb003,johnk003,fowld001,grosr001,altuj001,castj006,guzmj005,cartc002,domim001,hoesl001,villj001
18,TBA201404010,4,2,cabrm002,rasmc001,bautj002,encae001,linda001,navad001,lawrb002,goinr001,diazj004,joycm001,myerw001,zobrb001,longe001,lonej001,jennd002,forsl001,hanir001,escoy001
19,TEX201404010,2,3,reveb001,rollj001,utlec001,byrdm001,howar001,ruizc001,maybj001,nix-j001,hernc005,choos001,andre001,fielp001,belta001,riosa002,morem001,murpd004,martl004,chirr001
20,ARI201404010,4,5,pagaa001,pench001,sandp001,poseb001,morsm001,beltb001,ariaj001,crawb001,cainm001,parrg001,hilla001,goldp001,pradm001,montm001,trumm001,owinc001,polla001,milew001
21,MIA201404010,3,4,stubd001,cuddm001,gonzc001,tulot001,mornj001,rosaw001,arenn001,lemad001,andeb004,yelic001,bakej001,stanm004,mcgec001,joneg002,saltj001,ozunm001,hecha001,eovan001
22,MIL201404010,5,2,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,gatte001,simma001,wooda002,gomec002,seguj002,braur002,ramia001,lucrj001,davik003,weekr001,reynm001,lohsk001
23,SDN201404010,3,2,crawc002,puigy001,ramih003,gonza003,ethia001,uribj002,ellia001,gordd002,greiz001,cabre001,smits002,headc001,alony001,gyorj001,venaw001,denoc001,grany001,kenni001
24,ANA201404020,8,2,almoa001,millb002,canor001,smoaj001,hartc001,romes001,ackld001,zunim001,bloow001,calhk001,troum001,pujoa001,freed001,hamij003,kendh001,ibanr001,iannc001,aybae001
25,BAL201404020,6,2,navad002,pedrd001,ortid001,napom001,gomej001,sizeg001,bogax001,piera001,middw001,markn001,lougd001,jonea003,davic003,cruzn002,wietm001,hardj003,flahr001,lombs002
26,CHA201404020,6,7,dozib001,mauej001,willj004,kubej002,plout001,arcio001,suzuk001,hicka001,florp001,eatoa002,semim001,abrej003,dunna001,garca003,deaza001,ramia003,flowt001,garcl004
27,DET201404020,1,2,aokin001,infao001,hosme001,butlb003,gorda001,peres002,mousm001,cainl001,escoa003,kinsi001,collt002,cabrm001,martv001,huntt001,jacka001,avila001,castn001,gonza002
28,HOU201404020,1,3,ellsj001,jeted001,beltc001,mccab002,teixm001,soria001,gardb001,robeb003,johnk003,fowld001,grosr001,castj006,altuj001,cartc002,kraum001,domim001,presa001,villj001
29,OAK201404021,1,6,cabra002,swisn001,kipnj001,santc002,rabur001,branm003,avilm001,gomey001,johne002,crisc001,donaj001,lowrj001,mossb001,cespy001,reddj001,calla001,norrd001,sogae001
30,OAK201404022,6,4,morgn001,swisn001,kipnj001,santc002,branm003,cabra002,murpd005,avilm001,chisl001,fulds001,donaj001,lowrj001,mossb001,cespy001,jasoj001,reddj001,puntn001,bartd001
31,TBA201404020,3,0,cabrm002,rasmc001,bautj002,encae001,navad001,sierm001,lawrb002,iztum001,diazj004,jennd002,myerw001,zobrb001,longe001,forsl001,lonej001,rodrs002,molij001,escoy001
32,TEX201404020,3,4,reveb001,ruizc001,utlec001,howar001,byrdm001,browd004,maybj001,aschc001,nix-j001,choos001,andre001,fielp001,belta001,riosa002,morem001,arenj001,martl004,wilsj003
33,ARI201404020,2,0,pagaa001,beltb001,sandp001,poseb001,pench001,morsm001,crawb001,adrie001,hudst001,parrg001,hilla001,goldp001,pradm001,montm001,trumm001,pennc001,campt001,cahit001
34,CIN201404020,0,1,carpm002,peraj001,hollm001,craia001,moliy001,adamm002,bourp001,wongk001,wachm001,hamib001,philb001,vottj001,brucj001,ludwr001,frazt001,cozaz001,penab002,cingt001
35,MIA201404020,6,5,blacc001,cuddm001,gonzc001,tulot001,mornj001,arenn001,pachj001,lemad001,lylej001,yelic001,dietd001,stanm004,joneg002,mcgec001,saltj001,ozunm001,hecha001,alvah001
36,MIL201404020,1,0,heywj001,uptob001,freef001,johnc003,uptoj001,uggld001,lairg001,simma001,haraa001,gomec002,schal001,braur002,ramia001,lucrj001,genns001,bianj001,overl001,garzm001
37,NYN201404020,5,1,spand001,renda001,wertj001,laroa001,zimmr001,harpb003,desmi001,lobaj001,gonzg003,lagaj001,florw001,wrigd002,granc001,younc004,satij001,darnt001,tejar001,colob001
38,PIT201404020,3,4,bonie001,valbl001,casts001,rizza001,schin001,sweer001,castw002,kalir001,jacke001,marts002,snidt001,mccua001,alvap001,martr004,walkn001,ishit001,mercj002,mortc002
39,SDN201404020,5,1,crawc002,puigy001,ramih003,gonza003,ethia001,uribj002,ellia001,gordd002,hared001,cabre001,smits002,headc001,alony001,gyorj001,venaw001,amara001,hundn001,rosst001
40,BAL201404030,4,3,gomej001,pedrd001,ortid001,napom001,bogax001,navad002,middw001,rossd001,bradj001,markn001,hardj003,davic003,jonea003,cruzn002,wietm001,yound003,schoj001,flahr001
41,CHA201404030,10,9,dozib001,mauej001,willj004,colac001,plout001,arcio001,pintj001,hicka001,escoe001,eatoa002,semim001,abrej003,dunna001,garca003,deaza001,ramia003,flowt001,garcl004
42,HOU201404030,4,2,gardb001,jeted001,beltc001,teixm001,soria001,cervf001,robeb003,suzui001,solay001,fowld001,grosr001,castj006,altuj001,cartc002,kraum001,domim001,presa001,villj001
43,OAK201404030,2,3,almoa001,millb002,canor001,smoaj001,hartc001,seagk001,morrl001,ackld001,zunim001,crisc001,donaj001,lowrj001,cespy001,norrd001,calla001,reddj001,puntn001,fulds001
44,TBA201404030,2,7,cabrm002,rasmc001,bautj002,encae001,linda001,navad001,lawrb002,iztum001,goinr001,dejed001,jennd002,zobrb001,longe001,lonej001,forsl001,joycm001,hanir001,escoy001
45,ARI201404030,8,5,pagaa001,blang001,beltb001,sandp001,pench001,sanch002,crawb001,adrie001,linct001,parrg001,hilla001,goldp001,pradm001,trumm001,owinc001,polla001,goset001,arrob001
46,CIN201404030,7,6,carpm002,wongk001,hollm001,craia001,moliy001,adamm002,peraj001,jay-j001,lynnl001,hamib001,philb001,vottj001,brucj001,frazt001,heisc001,cozaz001,barnt001,bailh001
47,MIA201404030,5,8,dickc002,cuddm001,gonzc001,tulot001,rosaw001,arenn001,barnb002,culbc001,moraf001,yelic001,bakej001,stanm004,mcgec001,joneg002,ozunm001,hecha001,mathj001,turnj002
48,NYN201404030,8,2,spand001,harpb003,wertj001,laroa001,zimmr001,desmi001,espid001,leons001,roart001,youne003,murpd006,wrigd002,granc001,dudal001,lagaj001,darnt001,tejar001,wheez001
49,PIT201404030,3,2,bonie001,casts001,ruggj001,rizza001,lakej001,olt-m001,barnd001,bakej002,hammj002,marts002,snidt001,mccua001,alvap001,walkn001,ishit001,sanct001,mercj002,rodrw002
50,BOS201404040,6,2,gomec002,seguj002,braur002,ramia001,lucrj001,schal001,davik003,genns001,overl001,navad002,pedrd001,ortid001,napom001,carpm001,sizeg001,bogax001,piera001,middw001
