,Game ID,Visiting Team Score,Home Team Score,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
10,TBA201803290,4,6,bettm001,benia002,ramih003,martj006,bogax001,dever001,nunee002,bradj001,vazqc001,salec001,duffm002,kierk001,gomec002,cronc002,ramow001,spand001,hecha001,robed004,refsr001,archc001
11,TEX201803290,4,1,sprig001,brega001,altuj001,corrc001,gonzm002,reddj001,gatte001,marij002,mccab002,verlj001,deshd002,gallj002,andre001,belta001,mazan001,choos001,chirr001,odorr001,rua-r001,hamec001
12,TOR201803290,6,1,gardb001,judga001,stanm004,sancg002,hicka001,gregd001,drurb001,walkn001,austt001,sevel001,travd001,donaj001,smoaj001,granc001,morak001,gricr001,martr004,pillk001,diaza003,happj001
13,ARI201803300,8,9,blacc001,lemad001,arenn001,stort001,gonzc001,desmi001,parrg001,iannc001,andet002,andet002,perad001,martk001,goldp001,polla001,owinc001,lambj001,ahmen001,murpj001,ray-r002,ray-r002
14,ATL201803300,5,4,hernc005,santc002,herro001,hoskr001,altha001,kings001,knapa001,piven001,crawj002,piven001,incie001,albio001,freef001,markn001,suzuk001,tuckp001,swand001,flahr001,foltm001,foltm001
15,CIN201803300,2,0,eatoa002,renda001,harpb003,zimmr001,kendh001,turnt001,taylm002,wietm001,schem001,schem001,winkj002,suare001,vottj001,genns001,sches001,barnt001,peraj003,bailh001,hamib001,bailh001
16,LAN201803300,1,0,jacka001,panij002,mccua001,poseb001,longe001,pench001,beltb001,crawb001,cuetj001,cuetj001,taylc001,seagc001,puigy001,bellc002,grany001,kempm001,utlec001,forsl001,wooda002,wooda002
17,MIA201803300,1,2,almoa002,bryak001,rizza001,contw001,schwk001,russa002,zobrb001,baezj001,hendk001,hendk001,brinl001,dietd001,casts001,bourj002,andeb006,coopg002,rojam002,wallc001,smitc006,smitc006
18,SDN201803300,8,6,cainl001,yelic001,braur002,shawt001,santd002,pinam001,pereh001,arcio002,chacj001,chacj001,margm001,myerw001,hosme001,pirej001,asuac001,galvf001,spanc001,hedga001,luccj001,luccj001
19,DET201803300,13,10,fraza001,harrj002,polag001,bellj005,dickc002,marts002,cervf001,morac001,mercj002,novai001,martl004,candj002,cabrm001,castn001,martv001,mccaj001,mahtm001,iglej001,machd001,zimmj003
20,OAK201803300,2,1,kinsi001,troum001,uptoj001,pujoa001,cozaz001,calhk001,simma001,younc004,maldm001,skagt001,semim001,smolj002,lowrj001,davik003,olsom001,piscs001,chapm001,lucrj001,pindc001,manas001
21,TBA201803300,1,0,bettm001,benia002,ramih003,martj006,bogax001,dever001,nunee002,bradj001,vazqc001,pricd001,duffm002,kierk001,gomec002,cronc002,ramow001,millb002,hecha001,robed004,refsr001,snelb001
22,TEX201803300,1,5,sprig001,reddj001,altuj001,corrc001,brega001,gonzm002,gatte001,fishd001,stasm001,keucd001,deshd002,gallj002,andre001,belta001,mazan001,choos001,chirr001,odorr001,rua-r001,fistd001
23,TOR201803300,4,2,gardb001,judga001,stanm004,gregd001,sancg002,walkn001,mckib001,drurb001,wadet002,tanam001,travd001,donaj001,smoaj001,granc001,solay001,gricr001,martr004,pillk001,diaza003,sanca006
24,ARI201803310,2,1,blacc001,lemad001,arenn001,gonzc001,parrg001,desmi001,stort001,woltt001,marqg001,marqg001,perad001,polla001,goldp001,lambj001,descd001,dysoj001,ahmen001,mathj001,greiz001,greiz001
