,Game ID,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID
0,CHN201504050,carpm002,heywj001,hollm001,peraj001,adamm002,moliy001,wongk001,jay-j001,waina001,fowld001,solej001,rizza001,casts001,coghc001,olt-m001,rossd001,lestj001,lastt001
1,DET201504060,santd001,dozib001,mauej001,huntt001,vargk001,plout001,arcio001,suzuk001,schaj002,davir003,kinsi001,cabrm001,martv001,martj006,cespy001,castn001,avila001,iglej001
2,HOU201504060,bourm001,kipnj001,branm003,santc002,gomey001,mossb001,rabur001,chisl001,ramij003,altuj001,sprig001,valbl001,gatte001,cartc002,castj006,lowrj001,rasmc001,marij002
3,KCA201504060,eatoa002,cabrm002,abrej003,laroa001,garca003,ramia003,gillc001,flowt001,johnm006,escoa003,mousm001,cainl001,hosme001,morak001,gorda001,riosa002,peres002,infao001
4,NYA201504060,reyej001,martr004,bautj002,encae001,donaj001,navad001,pompd001,pillk001,travd001,ellsj001,gardb001,beltc001,teixm001,mccab002,headc001,rodra001,drews001,gregd001
5,OAK201504060,martl004,andre001,fielp001,belta001,choos001,rua-r001,morem001,chirr001,odorr001,gentc001,fulds001,zobrb001,butlb003,davii001,lawrb002,vogts001,semim001,sogae001
6,SEA201504060,calhk001,troum001,pujoa001,joycm001,freed001,aybae001,cronc002,iannc001,giavj001,jacka001,smits002,canor001,cruzn002,seagk001,morrl001,zunim001,ackld001,millb002
7,TBA201504060,deaza001,machm001,jonea003,pears001,snidt001,yound003,flahr001,schoj001,josec002,jasoj001,souzs001,cabra002,longe001,lonej001,jennd002,river003,forsl001,kierk001
8,ARI201504060,aokin001,panij002,pagaa001,poseb001,beltb001,mcgec001,crawb001,blang001,bumgm001,polla001,incie001,goldp001,trumm001,hilla001,owinc001,goset001,ahmen001,collj001
9,CIN201504060,harrj002,polag001,mccua001,walkn001,marts002,alvap001,cervf001,mercj002,lirif001,hamib001,vottj001,frazt001,mesod001,byrdm001,brucj001,philb001,cozaz001,cuetj001
10,LAN201504060,myerw001,norrd001,kempm001,uptoj001,middw001,gyorj001,alony001,barmc001,shiej002,rollj001,puigy001,gonza003,kendh001,crawc002,uribj002,pedej001,ellia001,kersc001
11,MIA201504060,youne003,petej002,markn001,freef001,bethc001,johnk003,calla001,simma001,tehej001,gordd002,yelic001,stanm004,morsm001,pradm001,ozunm001,saltj001,hecha001,alvah001
12,MIL201504060,blacc001,gonzc001,tulot001,mornj001,arenn001,dickc002,hundn001,lemad001,kendk001,gomec002,lucrj001,braur002,ramia001,linda001,davik003,genns001,seguj002,lohsk001
13,PHI201504060,bettm001,pedrd001,ortid001,ramih003,sandp001,victs001,bogax001,hanir001,buchc001,reveb001,herro001,utlec001,howar001,ruizc001,sizeg001,aschc001,galvf001,hamec001
14,WAS201504060,granc001,wrigd002,dudal001,cuddm001,murpd006,lagaj001,darnt001,florw001,colob001,taylm002,escoy001,harpb003,zimmr001,ramow001,desmi001,uggld001,moort002,schem001
15,OAK201504070,martl004,andre001,fielp001,belta001,choos001,rua-r001,morem001,corpc001,odorr001,fulds001,sogae001,zobrb001,butlb003,davii001,lawrb002,vogts001,semim001,gentc001
16,SEA201504070,calhk001,troum001,pujoa001,freed001,cronc002,aybae001,iannc001,cowgc001,giavj001,weekr001,jacka001,canor001,cruzn002,seagk001,ruggj001,morrl001,zunim001,millb002
17,TBA201504070,deaza001,pears001,snidt001,jonea003,davic003,machm001,flahr001,josec002,cabre001,guyeb001,souzs001,cabra002,longe001,jennd002,forsl001,river003,beckt001,kierk001
18,ARI201504070,aokin001,panij002,pagaa001,poseb001,beltb001,mcgec001,crawb001,blang001,voger001,incie001,hilla001,goldp001,perad001,trumm001,lambj001,goset001,ahmen001,delar003
19,LAN201504070,myerw001,norrd001,kempm001,uptoj001,middw001,alony001,gyorj001,amara001,rosst001,rollj001,puigy001,gonza003,kendh001,grany001,crawc002,uribj002,pedej001,greiz001
20,MIA201504070,youne003,petej002,markn001,freef001,bethc001,johnk003,johnc003,simma001,wooda002,gordd002,yelic001,stanm004,morsm001,pradm001,ozunm001,saltj001,hecha001,latom001
21,MIL201504070,blacc001,gonzc001,tulot001,mornj001,arenn001,dickc002,hundn001,lemad001,lylej001,gomec002,lucrj001,linda001,ramia001,davik003,parrg001,seguj002,genns001,garzm001
22,DET201504080,santd001,dozib001,mauej001,huntt001,vargk001,plout001,arcio001,suzuk001,schaj002,gosea001,kinsi001,cabrm001,martv001,martj006,cespy001,castn001,avila001,iglej001
23,HOU201504080,bourm001,ramij003,kipnj001,santc002,mossb001,gomey001,murpd005,chisl001,avilm001,altuj001,sprig001,valbl001,gatte001,cartc002,castj006,lowrj001,rasmc001,marij002
