,Game ID,Visiting Team Player 1 ID,Visiting Team Player 2 ID,Visiting Team Player 3 ID,Visiting Team Player 4 ID,Visiting Team Player 5 ID,Visiting Team Player 6 ID,Visiting Team Player 7 ID,Visiting Team Player 8 ID,Visiting Team Player 9 ID,Visiting Team Starting Pitcher ID,Home Team Player 1 ID,Home Team Player 2 ID,Home Team Player 3 ID,Home Team Player 4 ID,Home Team Player 5 ID,Home Team Player 6 ID,Home Team Player 7 ID,Home Team Player 8 ID,Home Team Player 9 ID,Home Team Starting Pitcher ID
1380,OAK201607180,sprig001,gonzm002,altuj001,corrc001,valbl001,rasmc001,gomec002,reeda002,castj006,fierm001,crisc001,lowrj001,reddj001,valed001,davik003,vogts001,semim001,alony001,healr001,gravk001
1381,SEA201607180,eatoa002,andet001,abrej003,cabrm002,frazt001,lawrb002,garca003,shucj001,navad001,salec001,robed003,gutif001,canor001,cruzn002,lee-d004,seagk001,iannc001,martl004,omals001,leblw001
1382,CHN201607180,reyej001,granc001,cespy001,walkn001,florw001,cabra002,lagaj001,darnt001,matzs001,matzs001,baezj001,bryak001,rizza001,contw001,russa002,szczm001,almoa002,rossd001,lestj001,lestj001
1383,CIN201607180,beckg001,garca004,freef001,markn001,franj004,incie001,recka001,aybae001,wislm001,wislm001,cozaz001,hamib001,vottj001,brucj001,duvaa001,philb001,suare001,barnt001,finnb001,finnb001
1384,COL201607180,forsl001,kierk001,longe001,guyeb001,morrl001,souzs001,beckt001,maill001,smyld001,smyld001,blacc001,lemad001,arenn001,gonzc001,stort001,rabur001,reynm001,hundn001,andet002,andet002
1385,PHI201607180,realj001,pradm001,yelic001,stanm004,ozunm001,dietd001,kelld001,hecha001,fernj003,fernj003,herro001,bourp001,franm004,ruppc001,joset001,aschc001,galvf001,hernc005,nolaa001,nolaa001
1386,SLN201607180,uptob001,myerw001,kempm001,solay001,dicka001,norrd001,schir001,ramia003,friec001,friec001,phamt001,diaza003,piscs001,hollm001,moliy001,gricr001,gyorj001,garcg002,leakm001,leakm001
1387,ANA201607190,choos001,desmi001,odorr001,belta001,morem001,rua-r001,mazan001,andre001,chirr001,lohsk001,escoy001,calhk001,troum001,pujoa001,navad002,simma001,choij001,bandj001,petig001,linct001
1388,BOS201607190,spand001,pagaa001,beltb001,poseb001,crawb001,parkj002,gillc001,willm008,penar002,peavj001,bettm001,pedrd001,bogax001,ortid001,ramih003,bradj001,shawt001,leons001,holtb002,porcr001
1389,DET201607190,nunee002,grosr001,mauej001,dozib001,sanom001,keplm001,vargk001,suzuk001,buxtb001,milot001,kinsi001,maybc001,cabrm001,martv001,castn001,uptoj001,avilm001,mccaj001,iglej001,sanca004
1390,KCA201607190,davir003,kipnj001,lindf001,napom001,santc002,ramij003,uribj002,gimec001,gonze004,salad001,escoa003,cuthc001,hosme001,morak001,peres002,gorda001,orlap001,merrw001,dysoj001,flynb001
1391,NYA201607190,jonea003,rickj001,machm001,trumm001,schoj001,alvap001,hardj003,josec002,flahr001,worlv001,gardb001,ellsj001,beltc001,mccab002,rodra001,gregd001,casts001,headc001,refsr001,eovan001
1392,OAK201607190,sprig001,gonzm002,altuj001,corrc001,valbl001,gomec002,rasmc001,gatte001,marij002,keucd001,crisc001,lowrj001,valed001,davik003,semim001,butlb003,smolj002,healr001,mcbrm002,overd001
1393,SEA201607190,eatoa002,andet001,abrej003,cabrm002,frazt001,lawrb002,garca003,shucj001,navad001,quinj001,omals001,gutif001,canor001,cruzn002,lee-d004,seagk001,iannc001,martl004,robed003,milew001
1394,ARI201607190,travd001,donaj001,encae001,saunm001,martr004,tulot001,pillk001,lakej001,sanca006,sanca006,seguj002,bourm001,goldp001,lambj001,castw002,drurb001,tomay001,ahmen001,godlz001,godlz001
1395,CHN201607190,reyej001,granc001,cespy001,lonej001,walkn001,cabra002,confm001,river003,syndn001,syndn001,lastt001,bryak001,rizza001,zobrb001,contw001,heywj001,russa002,montm001,arrij001,arrij001
1396,CIN201607190,beckg001,garca004,freef001,markn001,franj004,incie001,recka001,aybae001,jenkt001,jenkt001,cozaz001,hamib001,vottj001,brucj001,duvaa001,philb001,suare001,cabrr001,reedc002,reedc002
1397,COL201607190,forsl001,millb002,longe001,dickc002,pears001,kierk001,maill001,arcio001,snelb001,snelb001,blacc001,lemad001,arenn001,stort001,rabur001,reynm001,hundn001,barnb002,chatt001,chatt001
1398,PHI201607190,realj001,pradm001,yelic001,stanm004,ozunm001,dietd001,johnc003,hecha001,urenj001,urenj001,herro001,bourp001,franm004,ruppc001,joset001,aschc001,galvf001,hernc005,velav001,velav001
1399,PIT201607190,villj001,genns001,braur002,lucrj001,cartc002,nieuk001,pereh001,florr003,guerj003,guerj003,jasoj001,polag001,mccua001,marts002,freed001,cervf001,harrj002,mercj002,tailj001,tailj001
1400,WAS201607190,utlec001,kendh001,turnj001,gonza003,grany001,pedej001,puigy001,taylc001,kazms001,kazms001,turnt001,reveb001,murpd006,harpb003,wertj001,robic001,espid001,lobaj001,loper003,loper003
