Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays,Score SMA,Score CMA,Score EMA,At-bats SMA,At-bats CMA,At-bats EMA,Hits SMA,Hits CMA,Hits EMA,Doubles SMA,Doubles CMA,Doubles EMA,Triples SMA,Triples CMA,Triples EMA,Homeruns SMA,Homeruns CMA,Homeruns EMA,RBIs SMA,RBIs CMA,RBIs EMA,Sacrifice Hits SMA,Sacrifice Hits CMA,Sacrifice Hits EMA,Sacrifice Flies SMA,Sacrifice Flies CMA,Sacrifice Flies EMA,Hit-by-pitch SMA,Hit-by-pitch CMA,Hit-by-pitch EMA,Walks SMA,Walks CMA,Walks EMA,Intentional Walks SMA,Intentional Walks CMA,Intentional Walks EMA,Strikeouts SMA,Strikeouts CMA,Strikeouts EMA,Stolen Bases SMA,Stolen Bases CMA,Stolen Bases EMA,Caught Stealing SMA,Caught Stealing CMA,Caught Stealing EMA,Grounded into DP SMA,Grounded into DP CMA,Grounded into DP EMA,Left on Base SMA,Left on Base CMA,Left on Base EMA,Pitchers Used SMA,Pitchers Used CMA,Pitchers Used EMA,Individual Earned Runs SMA,Individual Earned Runs CMA,Individual Earned Runs EMA,Earned Runs SMA,Earned Runs CMA,Earned Runs EMA,Wild Pitches SMA,Wild Pitches CMA,Wild Pitches EMA,Balks SMA,Balks CMA,Balks EMA,Putouts SMA,Putouts CMA,Putouts EMA,Assists SMA,Assists CMA,Assists EMA,Errors SMA,Errors CMA,Errors EMA,Passed Balls SMA,Passed Balls CMA,Passed Balls EMA,Double Plays SMA,Double Plays CMA,Double Plays EMA,Triple Plays SMA,Triple Plays CMA,Triple Plays EMA
20140426,0,MIN,AL,23,5,26,4,2,0,1,4,1,0,1,8,0,9,1,1,1,7,3,2,2,0,0,27,4,1,0,1,0,5.4,5.4,5.547963098134732,33.1,33.1,32.82627317155356,8.0,8.0,8.160084301887085,1.4,1.4,1.8269810659680148,0.2,0.2,0.15412601449435628,1.0,1.0,0.7901108286290646,4.7,4.7,4.898663617979301,0.2,0.2,0.2212963595382829,0.5,0.5,0.6976690485030781,0.1,0.1,0.09958336179222729,5.5,5.5,5.66620049375811,0.1,0.1,0.036512023709689645,7.9,7.9,7.673315928957982,0.8,0.8,0.8734583497594643,0.1,0.1,0.1217129977460556,0.7,0.7,0.6742542966785432,7.9,7.9,8.163456752442434,3.6,3.6,3.4958017726441577,4.8,4.8,5.22287552646137,4.8,4.8,5.22287552646137,0.1,0.1,0.054542652702128984,0.1,0.1,0.1643041066936034,27.6,27.6,27.219072142258135,10.9,10.9,11.113615717185983,0.8,0.8,0.9853027922831898,0.0,0.0,0.0,1.0,1.0,1.1591842793767895,0.0,0.0,0.0
20140430,0,MIN,AL,24,4,38,12,5,0,0,4,0,0,0,2,0,11,0,0,0,9,4,6,6,0,0,27,13,1,0,0,0,5.6,5.363636363636363,5.448333443928417,32.4,32.45454545454545,31.585132594907456,7.8,7.636363636363637,7.403705337907615,1.4,1.4545454545454546,1.85843905397383,0.2,0.18181818181818182,0.12610310276810968,1.1,1.0,0.8282724961510528,4.8,4.636363636363637,4.735270232892155,0.3,0.2727272727272727,0.36287883962223144,0.5,0.45454545454545453,0.5708201305934275,0.2,0.18181818181818182,0.2632954778300042,5.6,5.7272727272727275,6.090527676711181,0.1,0.09090909090909091,0.029873473944291525,7.9,8.0,7.914531214601985,0.8,0.8181818181818182,0.8964659225304707,0.2,0.18181818181818182,0.28140154361040914,0.8,0.7272727272727273,0.7334807881915353,7.6,7.818181818181818,7.951919161089263,3.7,3.5454545454545454,3.405655995799765,4.2,4.545454545454546,4.636898158013848,4.2,4.545454545454546,4.636898158013848,0.1,0.09090909090909091,0.04462580675628735,0.0,0.09090909090909091,0.13443063274931186,27.6,27.545454545454547,27.179240843665745,10.6,10.272727272727273,9.820231041333985,0.9,0.8181818181818182,0.9879750118680644,0.0,0.0,0.0,1.0,1.0,1.1302416831264641,0.0,0.0,0.0
20140501,1,MIN,AL,25,4,34,7,1,0,0,3,0,0,0,3,0,9,0,0,0,6,3,9,9,0,0,27,13,0,0,3,0,5.6,5.25,5.185000090486886,31.9,32.916666666666664,32.7514721231061,7.7,8.0,8.239395276469867,1.9,1.75,2.4296319532513158,0.2,0.16666666666666666,0.10317526590118065,0.9,0.9166666666666666,0.6776774968508613,4.8,4.583333333333333,4.601584736002672,0.3,0.25,0.2969008687818257,0.4,0.4166666666666667,0.4670346523037134,0.2,0.16666666666666666,0.2154235727700034,5.4,5.416666666666667,5.346795371854602,0.0,0.08333333333333333,0.02444193322714761,7.9,8.25,8.475525539219806,0.8,0.75,0.7334721184340215,0.2,0.16666666666666666,0.23023762659033473,0.7,0.6666666666666666,0.6001206448839834,7.4,7.916666666666667,8.142479313618487,3.5,3.5833333333333335,3.5137185420179895,4.1,4.666666666666667,4.8847348565567845,4.1,4.666666666666667,4.8847348565567845,0.1,0.08333333333333333,0.036512023709689645,0.0,0.08333333333333333,0.10998869952216424,27.0,27.5,27.146651599362883,11.2,10.5,10.398370852000532,1.0,0.8333333333333334,0.9901613733465982,0.0,0.0,0.0,0.9,0.9166666666666666,0.9247431952852887,0.0,0.0,0.0
20140501,2,MIN,AL,26,3,40,6,0,0,0,2,0,2,0,7,0,7,2,0,1,10,8,4,4,1,0,36,13,1,0,2,0,5.9,5.153846153846154,4.96954552858018,32.4,33.0,32.97847719163226,8.1,7.923076923076923,8.014050680748072,2.0,1.6923076923076923,2.1696988708419855,0.2,0.15384615384615385,0.08441612664642052,0.8,0.8461538461538461,0.554463406514341,5.0,4.461538461538462,4.310387511274913,0.3,0.23076923076923078,0.24291889263967556,0.4,0.38461538461538464,0.3821192609757655,0.2,0.15384615384615385,0.1762556504481846,5.4,5.230769230769231,4.920105304244675,0.0,0.07692307692307693,0.019997945367666223,8.1,8.307692307692308,8.57088453208893,0.8,0.6923076923076923,0.6001135514460175,0.2,0.15384615384615385,0.18837623993754657,0.6,0.6153846153846154,0.49100780035962277,7.6,7.769230769230769,7.752937620233308,3.5,3.5384615384615383,3.420315170741991,4.4,5.0,5.632964882637369,4.4,5.0,5.632964882637369,0.1,0.07692307692307693,0.029873473944291525,0.0,0.07692307692307693,0.089990754154498,27.0,27.46153846153846,27.119987672205994,11.4,10.692307692307692,10.87139433345498,1.0,0.7692307692307693,0.8101320327381257,0.0,0.0,0.0,1.2,1.0769230769230769,1.302062614324327,0.0,0.0,0.0
20140502,0,MIN,AL,27,0,32,4,2,0,0,0,0,0,0,1,0,13,3,0,0,6,1,3,3,0,0,27,9,0,0,1,0,5.2,5.0,4.6114463415656015,32.8,33.5,34.255117702244576,7.6,7.785714285714286,7.647859647884786,1.7,1.5714285714285714,1.7752081670525335,0.1,0.14285714285714285,0.06906773998343496,0.7,0.7857142857142857,0.45365187805718804,4.3,4.285714285714286,3.890317054679474,0.3,0.21428571428571427,0.1987518212506436,0.6,0.5,0.6762793953438081,0.2,0.14285714285714285,0.14420916854851465,5.4,5.357142857142857,5.298267976200188,0.0,0.07142857142857142,0.01636195530081782,8.0,8.214285714285714,8.285269162618215,1.0,0.7857142857142857,0.8546383602740143,0.2,0.14285714285714285,0.15412601449435628,0.7,0.6428571428571429,0.5835518366578731,7.7,7.928571428571429,8.161494416554525,4.0,3.857142857142857,4.2529851396979925,4.7,4.928571428571429,5.336062176703302,4.7,4.928571428571429,5.336062176703302,0.1,0.14285714285714285,0.20626011504532943,0.0,0.07142857142857142,0.07362879885368018,27.9,28.071428571428573,28.73453536816854,11.4,10.857142857142858,11.258413545554074,1.1,0.7857142857142857,0.8446534813311937,0.0,0.0,0.0,1.3,1.1428571428571428,1.428960320810813,0.0,0.0,0.0
20140503,0,MIN,AL,28,6,35,12,2,0,2,6,0,0,0,1,0,8,1,0,1,6,3,1,1,1,0,27,10,0,0,1,0,4.5,4.666666666666667,3.7730015521900375,32.8,33.4,33.84509630183647,7.4,7.533333333333333,6.984612439178461,1.9,1.6,1.8160794094066182,0.1,0.13333333333333333,0.05650996907735587,0.5,0.7333333333333333,0.37116971841042656,3.7,4.0,3.1829866811013874,0.3,0.2,0.1626151264777993,0.6,0.4666666666666667,0.5533195052812975,0.2,0.13333333333333333,0.11798931972151197,5.2,5.066666666666666,4.516764707800154,0.0,0.06666666666666667,0.01338705433703276,8.5,8.533333333333333,9.142492951233084,1.3,0.9333333333333333,1.244704112951466,0.2,0.13333333333333333,0.12610310276810968,0.7,0.6,0.47745150272007797,7.9,7.8,7.768495431726429,3.9,3.6666666666666665,3.6615332961165388,4.9,4.8,4.911323599120882,4.9,4.8,4.911323599120882,0.1,0.13333333333333333,0.16875827594617862,0.0,0.06666666666666667,0.06024174451664741,27.9,28.0,28.419165301228805,11.1,10.733333333333333,10.847792900907878,1.1,0.7333333333333333,0.6910801210891584,0.0,0.0,0.0,1.4,1.1333333333333333,1.350967535208847,0.0,0.0,0.0
20140504,0,MIN,AL,29,5,34,10,4,0,0,5,0,0,0,6,1,9,2,0,0,11,5,2,2,0,0,27,7,1,0,0,0,4.7,4.75,4.177910360882757,33.6,33.5,34.055078792411656,8.1,7.8125,7.8965010866005585,2.1,1.625,1.849519516787233,0.1,0.125,0.046235429245109344,0.6,0.8125,0.6673206786994399,4.1,4.125,3.695170920901135,0.3,0.1875,0.13304873984547214,0.6,0.4375,0.45271595886651606,0.2,0.125,0.09653671613578252,4.7,4.8125,3.87735294274558,0.0,0.0625,0.010953044457572258,8.6,8.5,8.934766960099795,1.1,0.9375,1.2002124560511995,0.2,0.125,0.10317526590118065,0.6,0.625,0.5724603204073365,8.0,7.6875,7.446950807776169,3.8,3.625,3.5412545150044408,4.7,4.5625,4.2001738538261755,4.7,4.5625,4.2001738538261755,0.2,0.1875,0.3198931348650552,0.0,0.0625,0.04928870005907515,27.9,27.9375,28.16113524645993,10.9,10.6875,10.693648737106445,0.9,0.6875,0.5654291899820386,0.0,0.0,0.0,1.4,1.125,1.2871552560799657,0.0,0.0,0.0
20140513,0,MIN,AL,37,8,37,13,2,0,2,8,0,0,0,5,0,7,0,0,1,8,7,6,6,0,0,27,8,0,0,1,0,4.9,4.764705882352941,4.32738120435862,33.7,33.529411764705884,34.045064466518625,8.4,7.9411764705882355,8.278955434491365,2.4,1.7647058823529411,2.240515968280463,0.0,0.11764705882352941,0.03782898756418037,0.5,0.7647058823529411,0.5459896462086326,4.3,4.176470588235294,3.932412571646383,0.2,0.17647058823529413,0.1088580598735681,0.6,0.4117647058823529,0.3704039663453313,0.1,0.11764705882352941,0.0789845859292766,4.7,4.882352941176471,4.263288771337292,0.1,0.11764705882352941,0.19077976364710458,8.6,8.529411764705882,8.946627512808922,1.2,1.0,1.3456283731327996,0.2,0.11764705882352941,0.08441612664642052,0.5,0.5882352941176471,0.46837662578782074,8.0,7.882352941176471,8.092959751816865,3.8,3.7058823529411766,3.806480966821815,4.0,4.411764705882353,3.800142244039598,4.0,4.411764705882353,3.800142244039598,0.2,0.17647058823529413,0.2617307467077724,0.0,0.058823529411764705,0.04032711823015239,27.9,27.88235294117647,27.95001974710358,10.5,10.470588235294118,10.022076239450728,0.9,0.7058823529411765,0.6444420645307589,0.0,0.0,0.0,1.3,1.0588235294117647,1.0531270277017901,0.0,0.0,0.0
20140514,0,MIN,AL,38,4,36,10,2,0,1,4,0,1,0,3,0,8,0,0,1,9,5,6,6,0,0,27,8,2,0,1,0,4.8,4.944444444444445,4.995130076293416,34.4,33.72222222222222,34.58232547260614,8.9,8.222222222222221,9.137327173674754,2.4,1.7777777777777777,2.19678579222947,0.0,0.1111111111111111,0.030950989825238483,0.6,0.8333333333333334,0.8103551650797902,4.5,4.388888888888889,4.671973922256131,0.1,0.16666666666666666,0.08906568535110117,0.6,0.3888888888888889,0.3030577906461801,0.1,0.1111111111111111,0.06462375212395358,4.0,4.888888888888889,4.397236267457784,0.1,0.1111111111111111,0.15609253389308556,8.7,8.444444444444445,8.592695237752753,0.9,0.9444444444444444,1.1009686689268359,0.1,0.1111111111111111,0.06906773998343496,0.6,0.6111111111111112,0.565035421099126,7.8,7.888888888888889,8.076057978759254,4.1,3.888888888888889,4.38712079103603,4.2,4.5,4.200116381486943,4.2,4.5,4.200116381486943,0.2,0.16666666666666666,0.21414333821545015,0.0,0.05555555555555555,0.03299491491557923,27.9,27.833333333333332,27.777288883993837,10.5,10.333333333333334,9.65442601409605,0.7,0.6666666666666666,0.5272707800706209,0.0,0.0,0.0,1.2,1.0555555555555556,1.0434675681196464,0.0,0.0,0.0
20140515,0,MIN,AL,39,4,38,12,2,0,1,4,0,1,0,5,1,10,0,1,1,11,5,3,3,0,0,30,1,0,0,0,0,4.5,4.894736842105263,4.814197335149158,34.8,33.8421052631579,34.84008447758684,8.9,8.31578947368421,9.29417677846116,2.3,1.7894736842105263,2.161006557278657,0.0,0.10526315789473684,0.025323537129740576,0.7,0.8421052631578947,0.844836044156192,4.2,4.368421052631579,4.549796845482289,0.1,0.15789473684210525,0.07287192437817368,0.5,0.42105263157894735,0.4297745559832382,0.1,0.10526315789473684,0.052873979010507464,3.8,4.7894736842105265,4.143193309738187,0.1,0.10526315789473684,0.1277120731852518,8.8,8.421052631578947,8.484932467252252,0.9,0.8947368421052632,0.9007925473037748,0.1,0.10526315789473684,0.05650996907735587,0.6,0.631578947368421,0.6441198899901939,7.9,7.947368421052632,8.244047437166662,4.4,3.9473684210526314,4.4985533744840245,4.8,4.578947368421052,4.527367948489317,4.8,4.578947368421052,4.527367948489317,0.2,0.15789473684210525,0.17520818581264103,0.0,0.05263157894736842,0.026995839476383007,27.9,27.789473684210527,27.635963632358592,10.0,10.210526315789474,9.353621284260404,0.7,0.7368421052631579,0.7950397291486898,0.0,0.0,0.0,1.1,1.0526315789473684,1.0355643739160743,0.0,0.0,0.0
