Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20140706,0,MIN,AL,87,7,38,13,3,0,2,6,0,0,0,4,0,7,0,0,2,8,4,9,9,0,1,27,10,0,0,1,0
20140718,0,MIN,AL,95,2,33,6,0,0,1,2,0,0,2,3,0,9,0,0,0,9,4,6,6,0,0,27,21,0,0,2,0
20140719,0,MIN,AL,96,1,32,5,1,0,0,1,0,0,1,1,0,10,0,0,1,6,3,5,5,1,0,27,13,1,0,5,0
20140720,0,MIN,AL,97,3,32,6,1,0,0,2,1,0,0,5,0,7,1,0,1,8,4,5,5,2,1,27,5,1,0,0,0
20140721,0,MIN,AL,98,4,31,9,3,0,1,4,0,0,0,3,0,5,0,0,0,6,5,3,3,0,0,27,9,2,0,1,0
20140722,0,MIN,AL,99,2,35,9,1,1,1,2,0,0,0,4,0,10,0,0,0,10,3,8,8,0,0,27,5,0,0,0,0
20140723,0,MIN,AL,100,3,30,8,1,1,1,3,0,0,0,3,0,8,0,2,0,6,6,1,1,0,0,27,7,1,0,0,0
20140724,0,MIN,AL,101,2,30,3,0,0,1,2,0,0,0,1,0,5,0,0,0,2,3,4,4,0,0,27,10,1,0,1,0
20140725,0,MIN,AL,102,5,35,9,0,0,2,5,0,1,0,0,0,7,0,0,0,4,5,9,9,1,0,27,9,1,0,0,0
20140726,0,MIN,AL,103,0,33,6,1,0,0,0,0,0,0,2,0,13,0,0,0,8,3,7,7,0,0,27,10,1,0,1,0
20140727,0,MIN,AL,104,4,28,6,1,1,0,4,0,1,0,3,0,4,1,0,0,4,4,3,3,0,0,27,7,0,0,1,0
20140805,0,MIN,AL,111,3,27,5,2,0,1,3,1,0,0,4,0,4,1,0,1,5,4,1,1,0,0,27,6,0,0,0,0
20140806,0,MIN,AL,112,4,38,10,1,0,1,4,1,0,2,7,1,8,4,0,1,14,5,5,5,0,0,30,11,0,0,0,0
20140815,0,MIN,AL,120,5,35,9,4,0,0,3,1,0,0,1,0,5,0,0,1,5,5,6,6,1,0,27,8,0,0,1,0
20140816,0,MIN,AL,121,4,29,6,1,0,1,4,1,1,0,6,1,5,0,0,1,9,3,1,1,0,0,27,6,1,0,1,0
20140817,0,MIN,AL,122,6,34,7,1,1,3,6,0,0,1,2,0,9,0,0,0,4,6,11,11,0,0,27,10,1,0,1,0
20140818,0,MIN,AL,123,4,34,7,0,0,2,4,0,0,0,1,0,4,1,0,0,4,3,6,6,0,0,27,15,0,0,1,0
20140819,0,MIN,AL,124,5,35,8,2,0,1,5,0,0,0,2,0,6,0,0,0,5,5,7,7,1,0,27,20,1,0,1,0
20140820,0,MIN,AL,125,0,32,6,0,0,0,0,1,0,0,3,0,6,1,0,1,9,4,5,5,2,0,27,11,0,0,1,0
20140821,0,MIN,AL,126,4,29,8,4,0,1,4,1,0,1,4,0,9,1,2,0,7,3,1,1,0,0,27,6,1,0,0,0
20140822,0,MIN,AL,127,20,46,20,4,1,4,18,0,0,0,9,0,8,1,0,0,11,6,4,4,1,0,27,17,3,0,1,0
20140823,1,MIN,AL,128,12,37,14,5,2,0,12,0,1,1,6,1,8,0,0,0,9,4,1,1,0,0,27,9,1,0,0,0
20140823,2,MIN,AL,129,6,37,11,5,1,0,6,0,0,0,3,0,6,1,0,0,7,4,8,8,1,0,27,9,1,0,2,0
20140824,0,MIN,AL,130,4,39,12,3,0,0,4,0,0,2,2,0,9,0,0,0,12,5,13,13,1,0,27,11,1,0,1,0
20140902,0,MIN,AL,138,3,35,9,1,0,1,3,0,0,0,2,0,7,1,0,2,4,7,6,6,0,0,30,10,0,0,2,0
20140903,0,MIN,AL,139,11,43,19,4,2,1,10,0,0,1,4,0,6,0,0,1,13,5,4,4,1,0,27,4,1,0,1,0
20140904,0,MIN,AL,140,4,36,11,2,0,1,4,1,0,0,4,0,9,1,0,1,10,3,5,5,0,0,27,19,1,0,1,0
20140905,0,MIN,AL,141,6,39,11,3,0,1,6,0,1,0,6,1,4,2,1,0,10,9,6,6,0,0,30,8,2,1,0,0
20140906,0,MIN,AL,142,5,33,9,2,0,2,5,0,0,0,5,1,8,1,1,2,6,4,8,8,0,0,27,6,1,0,0,0
20140907,0,MIN,AL,143,4,32,6,1,0,1,4,0,1,0,4,0,10,0,0,1,6,6,11,9,2,0,27,8,2,0,0,0
20140915,0,MIN,AL,150,6,33,10,1,0,1,6,0,1,0,3,0,7,2,1,2,4,5,8,8,0,0,27,12,0,0,3,0
20140916,0,MIN,AL,151,4,32,9,2,1,1,4,0,0,0,3,0,5,1,1,2,5,2,3,3,0,0,27,12,0,0,2,0
20140917,0,MIN,AL,152,8,37,13,4,2,0,8,0,0,0,3,0,8,3,0,0,8,5,4,4,0,0,27,17,0,0,2,0
