Date,Number of game,Team,League,Game Number,Score,At-bats,Hits,Doubles,Triples,Homeruns,RBIs,Sacrifice Hits,Sacrifice Flies,Hit-by-pitch,Walks,Intentional Walks,Strikeouts,Stolen Bases,Caught Stealing,Grounded into DP,Left on Base,Pitchers Used,Individual Earned Runs,Earned Runs,Wild Pitches,Balks,Putouts,Assists,Errors,Passed Balls,Double Plays,Triple Plays
20140331,0,CHA,AL,1,5,31,11,2,0,2,5,0,1,0,2,0,6,0,0,2,5,4,3,3,0,0,27,11,0,0,1,0
20140402,0,CHA,AL,2,7,42,11,1,0,1,6,1,1,0,5,2,12,2,0,0,10,7,5,5,0,0,33,12,2,1,0,0
20140403,0,CHA,AL,3,9,40,13,2,2,3,9,0,0,1,3,0,8,0,0,0,8,5,7,7,2,0,27,15,1,0,0,0
20140410,0,CHA,AL,10,7,32,9,2,0,3,7,0,0,0,4,0,14,0,0,0,5,3,3,3,1,0,27,16,2,0,2,0
20140411,0,CHA,AL,11,9,33,11,3,0,0,9,0,1,0,9,1,10,1,0,0,10,4,6,6,0,0,27,10,1,0,1,0
20140412,0,CHA,AL,12,6,36,8,1,0,1,6,0,0,1,6,0,13,0,0,1,10,5,12,12,1,0,27,6,1,0,1,0
20140413,0,CHA,AL,13,4,33,9,2,0,2,4,0,0,0,2,0,7,1,0,1,6,3,1,1,1,0,27,10,1,0,1,0
20140415,0,CHA,AL,14,2,31,5,1,0,1,1,0,0,0,7,0,10,0,1,0,10,5,1,1,1,0,27,7,0,0,0,0
20140416,0,CHA,AL,15,4,52,10,0,0,1,3,0,0,1,3,0,15,2,0,1,10,9,6,6,1,0,42,16,0,0,1,0
20140417,0,CHA,AL,16,1,33,8,2,0,0,1,1,0,0,0,0,10,0,0,0,6,3,3,3,0,0,27,8,0,0,2,0
20140425,0,CHA,AL,24,9,36,12,2,0,2,9,0,0,0,3,0,6,1,0,1,4,5,6,6,1,0,27,14,0,1,3,0
20140426,0,CHA,AL,25,0,30,5,1,0,0,0,1,0,0,3,0,2,0,0,1,7,3,4,4,1,0,27,7,1,0,0,0
20140427,0,CHA,AL,26,9,36,11,2,0,1,6,0,0,0,2,0,8,1,0,0,5,2,1,1,1,0,27,16,1,0,4,0
20140428,0,CHA,AL,27,7,33,12,3,1,1,7,1,0,0,6,0,9,1,2,0,9,3,2,2,0,0,27,8,3,0,0,0
20140429,0,CHA,AL,28,3,32,7,3,1,0,3,0,0,0,4,1,7,0,1,1,6,3,3,3,1,0,27,8,1,0,1,0
20140430,0,CHA,AL,29,1,33,6,3,0,0,1,0,0,0,3,0,9,0,0,0,8,5,4,4,0,0,27,6,1,0,0,0
20140507,0,CHA,AL,35,8,34,11,4,0,1,8,0,0,0,6,0,7,0,0,0,8,3,3,3,0,0,27,7,0,0,1,0
20140508,0,CHA,AL,36,5,39,13,0,0,0,5,0,0,1,3,0,9,0,0,0,11,4,12,12,1,0,27,9,1,1,1,0
20140509,0,CHA,AL,37,9,38,15,1,1,3,9,0,0,0,1,0,10,0,0,1,6,4,3,3,0,1,27,7,2,0,0,0
20140510,0,CHA,AL,38,3,33,7,1,0,1,3,0,0,0,0,0,9,1,0,1,3,3,4,4,0,0,27,13,0,0,2,0
20140511,0,CHA,AL,39,1,29,4,0,0,1,1,0,0,0,1,0,10,0,0,1,2,4,4,4,0,0,27,11,1,0,2,0
20140522,0,CHA,AL,49,3,32,8,3,0,0,3,0,0,0,2,0,8,1,0,0,7,4,1,1,0,0,27,8,0,1,0,0
20140523,0,CHA,AL,50,6,38,13,0,0,2,4,0,0,0,3,0,9,2,0,0,11,4,5,5,1,0,27,10,0,0,2,0
20140524,0,CHA,AL,51,3,35,10,1,0,0,3,1,1,0,1,0,11,1,0,2,5,3,4,4,0,0,30,12,1,0,0,0
20140525,0,CHA,AL,52,1,32,7,2,0,0,1,0,0,1,2,0,7,0,0,1,7,3,4,4,1,0,27,7,2,0,0,0
20140526,0,CHA,AL,53,6,34,9,3,0,1,6,0,0,0,1,0,12,1,0,0,5,4,2,2,0,0,27,13,1,0,1,0
20140527,0,CHA,AL,54,2,32,8,2,0,1,2,0,0,0,4,0,7,0,0,0,10,5,1,1,0,0,27,11,0,0,2,0
20140528,0,CHA,AL,55,3,32,8,0,0,0,3,0,1,0,3,0,8,2,0,0,8,3,2,2,0,1,27,5,0,0,0,0
20140530,0,CHA,AL,56,1,29,4,1,0,0,0,0,0,0,4,0,13,0,2,0,5,3,4,4,1,0,27,13,1,0,0,0
20140531,0,CHA,AL,57,2,32,5,1,0,0,1,0,0,0,4,0,10,2,0,2,7,4,4,4,2,0,27,14,0,0,3,0
20140601,0,CHA,AL,58,4,29,6,2,0,2,4,0,0,1,1,0,8,0,1,0,3,1,1,1,0,0,27,7,0,0,1,0
20140609,0,CHA,AL,65,6,35,11,4,1,1,6,0,0,0,3,1,7,0,0,2,8,5,5,5,0,0,27,7,0,0,0,0
20140611,0,CHA,AL,66,8,35,12,1,1,1,7,0,0,1,6,1,9,0,0,1,10,2,2,2,0,0,27,8,0,0,1,0
20140612,0,CHA,AL,67,0,31,3,2,0,0,0,0,0,0,3,0,8,1,0,0,7,3,4,4,0,0,27,8,0,0,0,0
20140613,0,CHA,AL,68,2,33,7,0,0,0,2,0,1,1,5,0,12,0,0,0,11,2,7,7,0,0,27,8,0,0,0,0
20140614,0,CHA,AL,69,1,34,7,1,0,1,1,0,0,0,2,0,11,0,0,0,8,4,6,6,0,0,27,8,1,0,1,0
20140615,0,CHA,AL,70,3,39,12,4,1,0,2,0,0,0,4,0,5,0,0,0,13,5,6,6,0,0,27,12,0,0,2,0
20140617,0,CHA,AL,71,8,34,10,0,0,2,7,0,0,0,1,0,6,1,0,0,3,4,1,1,0,0,27,8,1,0,1,0
20140618,0,CHA,AL,72,7,35,12,3,1,2,7,0,0,0,1,0,1,0,0,1,5,5,6,6,0,0,27,8,0,0,1,0
20140701,1,CHA,AL,84,4,29,3,1,0,1,3,0,0,1,4,0,9,0,0,1,3,3,7,7,2,0,27,9,1,0,1,0
20140701,2,CHA,AL,85,5,35,9,1,0,2,5,0,0,1,2,0,10,2,0,1,6,3,7,7,1,0,27,17,0,0,4,0
20140702,0,CHA,AL,86,3,33,9,1,0,0,3,0,0,0,2,0,6,0,0,1,7,2,2,2,0,0,27,5,0,0,1,0
20140704,0,CHA,AL,87,7,32,9,1,0,3,7,0,1,1,1,0,8,1,0,0,4,1,1,1,2,0,27,8,1,0,0,0
20140705,0,CHA,AL,88,2,47,4,1,1,0,2,0,1,0,2,1,15,0,0,0,6,6,3,3,0,0,42,18,0,0,1,0
20140706,0,CHA,AL,89,1,26,2,1,0,0,0,0,0,1,7,1,8,0,0,0,9,3,0,0,1,0,27,10,1,0,0,0
20140718,0,CHA,AL,97,3,29,7,3,1,1,3,0,0,0,3,0,4,1,0,1,5,4,2,2,0,0,27,7,1,0,0,0
20140719,0,CHA,AL,98,4,35,13,1,1,0,3,1,0,1,2,0,8,0,0,1,11,5,3,3,1,0,27,11,0,0,1,0
20140720,0,CHA,AL,99,7,38,10,1,0,0,5,0,0,0,5,0,8,1,0,1,9,5,11,11,0,0,27,10,0,0,2,0
20140721,0,CHA,AL,100,3,27,6,2,0,0,3,0,1,2,5,1,5,1,0,3,8,3,1,1,1,0,27,12,0,0,2,0
20140722,0,CHA,AL,101,1,34,8,0,1,1,1,0,0,0,4,0,6,2,0,0,10,5,7,7,0,0,27,13,2,1,1,0
20140723,0,CHA,AL,102,1,32,6,2,0,0,1,0,0,0,1,0,10,0,0,1,5,4,1,1,0,0,27,20,1,0,4,0
20140801,0,CHA,AL,110,10,40,17,2,1,1,10,0,0,1,4,0,7,0,1,0,11,5,7,7,0,0,27,8,0,1,0,0
20140802,0,CHA,AL,111,6,36,12,5,0,1,6,1,0,0,4,1,6,0,0,1,8,4,8,8,1,0,27,16,1,0,4,0
20140803,0,CHA,AL,112,3,36,8,2,0,1,3,0,0,1,0,0,7,1,0,0,7,6,15,15,1,0,27,9,3,0,1,0
20140804,0,CHA,AL,113,5,26,10,1,1,1,5,0,0,0,3,0,6,1,1,1,6,1,1,1,0,0,21,6,1,0,0,0
20140805,0,CHA,AL,114,0,32,6,1,0,0,0,0,0,0,1,0,7,0,0,1,6,5,16,16,2,0,27,11,0,0,1,0
20140806,0,CHA,AL,115,1,31,8,2,0,1,1,0,0,0,2,0,6,0,1,2,5,4,3,3,0,0,27,13,1,0,1,0
20140815,0,CHA,AL,122,11,40,17,3,0,0,10,0,0,1,4,1,10,0,0,1,10,4,5,5,0,0,27,8,1,0,1,0
20140816,0,CHA,AL,123,3,34,10,1,0,0,3,0,1,0,0,0,6,0,0,2,5,4,6,6,0,0,27,12,1,0,1,0
20140817,0,CHA,AL,124,7,29,9,2,0,2,7,0,1,0,3,0,3,1,0,1,2,5,5,5,0,0,27,15,0,0,3,0
20140818,0,CHA,AL,125,2,29,3,1,0,0,2,0,0,1,0,0,7,0,1,0,1,5,8,8,0,0,27,6,0,0,0,0
20140819,0,CHA,AL,126,1,30,3,0,0,1,1,0,0,0,1,0,10,0,0,1,3,3,5,5,1,0,27,10,0,0,0,0
20140820,0,CHA,AL,127,3,32,6,2,0,1,3,0,1,0,1,0,10,0,0,0,4,3,4,4,0,0,27,6,0,0,1,0
20140826,0,CHA,AL,131,6,36,10,3,0,1,6,1,0,1,2,1,9,0,0,3,4,6,8,8,0,0,30,12,1,0,1,0
20140827,0,CHA,AL,132,3,33,10,3,1,0,3,0,0,0,2,0,10,0,1,0,8,3,2,2,0,0,27,10,0,0,1,0
20140828,0,CHA,AL,133,2,34,6,0,0,0,2,0,0,0,1,0,11,3,0,0,6,4,3,3,0,0,27,10,0,0,0,0
20140829,0,CHA,AL,134,1,34,10,5,0,0,1,0,1,1,3,0,8,0,0,1,11,4,3,3,0,0,27,11,2,0,1,0
20140830,1,CHA,AL,135,6,35,10,1,0,2,5,0,0,0,1,0,12,1,0,0,6,4,3,3,0,0,27,7,0,0,2,0
20140830,2,CHA,AL,136,4,33,7,2,0,1,4,0,0,0,4,0,4,0,0,1,6,4,8,8,0,0,27,11,0,0,1,0
20140831,0,CHA,AL,137,6,39,11,3,0,0,5,0,0,1,1,0,9,3,0,0,11,3,2,2,1,0,27,11,0,0,1,0
20140908,0,CHA,AL,143,5,37,6,0,0,3,5,1,1,1,4,0,8,0,0,2,5,5,4,4,1,0,36,9,0,0,2,0
20140909,0,CHA,AL,144,2,32,7,1,0,1,2,0,0,1,2,0,10,0,0,1,6,4,6,6,1,0,27,11,5,0,0,0
20140910,0,CHA,AL,145,2,30,8,1,0,0,2,0,0,0,3,1,9,2,0,2,7,4,1,1,0,0,27,8,0,0,1,0
20140911,0,CHA,AL,146,1,27,4,0,0,1,1,0,0,0,1,0,7,1,1,0,3,2,0,0,0,0,27,5,0,0,1,0
20140913,1,CHA,AL,147,5,31,7,5,0,1,5,0,0,2,2,1,12,0,0,1,6,3,1,1,0,0,27,5,0,0,0,0
20140913,2,CHA,AL,148,7,36,11,1,0,3,7,0,0,1,4,0,7,1,0,0,9,4,6,6,0,0,27,11,0,0,0,0
20140914,0,CHA,AL,149,4,34,7,1,0,2,4,0,0,0,0,0,12,0,0,0,3,4,6,6,1,0,27,12,0,0,2,0
20140925,0,CHA,AL,159,3,35,8,1,1,1,3,1,0,0,3,0,9,0,0,0,9,3,5,5,0,0,27,16,0,1,1,0
20140926,0,CHA,AL,160,1,33,6,0,1,0,1,0,0,0,1,0,10,0,0,0,6,5,3,3,0,0,27,7,0,0,2,0
20140927,0,CHA,AL,161,5,29,7,1,0,3,5,0,0,0,3,0,7,1,1,1,3,5,4,4,0,0,27,12,0,0,1,0
20140928,0,CHA,AL,162,4,38,12,3,0,1,4,0,0,0,3,0,13,1,0,0,10,3,6,6,1,0,27,8,0,1,0,0
20150410,0,CHA,AL,4,0,28,3,2,0,0,0,0,0,0,2,0,7,0,1,0,3,4,5,5,2,1,27,9,1,0,0,0
20150411,0,CHA,AL,5,5,33,10,2,0,2,5,0,0,1,1,0,5,0,0,1,6,3,4,4,0,0,27,11,2,0,0,0
20150412,0,CHA,AL,6,6,37,12,1,0,2,6,0,0,0,0,0,7,1,0,0,7,5,2,2,0,0,27,8,0,0,1,0
20150420,0,CHA,AL,12,4,34,10,3,0,0,4,0,0,0,4,0,10,1,0,1,9,4,3,3,0,0,27,6,0,0,0,0
20150421,0,CHA,AL,13,2,35,8,1,0,1,2,0,0,0,0,0,15,0,0,1,6,3,6,6,0,0,27,9,0,0,0,0
20150422,0,CHA,AL,14,6,36,14,4,0,1,4,0,0,0,1,0,9,0,1,1,7,4,0,0,0,0,27,9,0,0,1,0
20150423,0,CHA,AL,15,2,46,7,2,0,0,2,0,0,1,4,1,14,0,1,0,10,6,3,3,0,0,39,22,0,0,4,0
20150424,0,CHA,AL,16,3,33,8,0,1,0,3,1,1,0,5,1,7,0,0,0,11,3,2,2,0,0,27,14,1,0,2,0
20150426,0,CHA,AL,17,5,31,6,0,0,0,5,0,0,0,2,0,7,0,0,0,4,4,3,3,0,0,27,11,1,0,0,0
20150505,0,CHA,AL,23,5,27,6,1,1,0,5,0,0,0,5,0,3,0,1,2,3,3,2,2,1,0,27,9,3,0,1,0
20150506,0,CHA,AL,24,7,36,12,1,0,2,6,0,1,0,5,0,3,1,0,0,11,4,6,6,2,0,27,10,0,0,1,0
20150507,0,CHA,AL,25,1,31,5,0,0,0,1,0,0,0,2,0,7,0,0,2,5,4,4,4,1,0,27,9,0,0,0,0
20150509,1,CHA,AL,26,4,32,6,2,0,2,4,0,1,0,2,0,7,0,0,0,4,5,9,9,3,0,27,14,2,0,2,0
20150509,2,CHA,AL,27,8,35,14,1,0,3,8,0,1,0,2,0,1,0,2,0,6,4,2,2,0,0,27,9,0,1,3,0
20150510,0,CHA,AL,28,4,34,11,2,0,0,4,1,1,0,7,0,4,1,0,1,13,3,2,2,1,0,27,9,0,2,2,0
20150518,0,CHA,AL,35,2,34,7,0,1,0,1,0,0,0,2,0,13,0,0,2,5,3,1,1,0,0,30,8,0,0,0,0
20150519,0,CHA,AL,36,1,30,4,1,0,0,1,1,0,0,4,0,11,0,0,0,7,3,3,3,0,0,27,12,0,0,1,0
20150520,0,CHA,AL,37,3,33,6,0,0,2,3,0,0,0,2,0,7,0,0,0,5,4,4,4,0,0,27,10,0,0,2,0
20150521,0,CHA,AL,38,2,33,7,2,0,1,2,0,0,0,3,0,11,0,0,1,7,3,5,5,1,0,27,11,2,0,1,0
20150522,0,CHA,AL,39,3,31,9,1,0,0,3,0,1,1,2,0,4,1,0,1,8,2,2,2,0,0,27,6,0,0,0,0
20150523,0,CHA,AL,40,3,33,6,1,1,0,3,0,0,1,1,0,11,1,1,0,5,2,3,3,0,0,27,14,1,0,2,0
20150524,0,CHA,AL,41,1,30,4,0,0,1,1,0,0,1,0,0,8,0,0,1,3,3,7,7,0,0,27,10,1,0,0,0
20150605,0,CHA,AL,53,4,36,7,1,0,2,4,1,0,1,2,1,5,0,0,0,6,4,3,3,0,0,33,14,0,0,2,0
20150606,0,CHA,AL,54,1,29,5,2,0,0,1,0,0,0,2,0,11,0,0,2,3,3,7,7,0,0,27,14,0,0,1,0
20150607,0,CHA,AL,55,4,33,6,2,1,1,4,0,0,0,2,0,7,0,1,0,4,3,6,6,0,0,27,12,0,0,3,0
20150608,0,CHA,AL,56,3,27,4,1,0,1,3,0,0,1,0,0,9,0,0,1,1,2,1,1,0,0,27,4,1,0,0,0
20150609,0,CHA,AL,57,4,33,10,1,0,1,4,0,0,0,4,0,8,1,0,0,9,5,2,2,0,0,27,9,0,0,0,0
20150610,0,CHA,AL,58,4,29,9,1,0,3,4,0,0,0,6,0,7,0,3,0,7,3,1,1,1,0,27,12,3,0,0,0
20150617,0,CHA,AL,64,2,30,4,1,0,0,2,0,0,1,2,0,10,0,0,0,4,3,3,3,0,0,27,8,0,0,0,0
20150618,0,CHA,AL,65,2,28,3,1,0,1,2,1,1,0,3,0,6,1,0,0,4,4,3,3,0,0,27,14,0,0,3,0
20150619,0,CHA,AL,66,1,36,9,1,0,1,1,0,0,1,1,0,7,0,0,0,10,2,2,2,1,0,27,6,0,0,0,0
20150620,0,CHA,AL,67,3,28,6,0,0,0,2,0,1,3,4,0,2,0,1,2,9,4,2,2,1,0,27,11,0,0,2,0
20150621,0,CHA,AL,68,3,40,12,3,0,1,3,0,1,0,2,1,11,0,0,0,10,5,2,2,1,0,33,11,1,0,2,0
20150703,0,CHA,AL,77,1,29,7,1,0,1,1,0,0,0,2,0,5,0,0,0,6,3,0,0,1,0,27,9,1,0,2,0
20150704,0,CHA,AL,78,3,33,11,3,1,0,3,1,1,0,2,0,8,1,0,1,10,3,2,2,1,0,27,6,0,0,1,0
20150705,0,CHA,AL,79,1,30,5,2,0,0,1,0,0,1,2,0,8,0,1,0,5,4,6,6,1,0,27,9,4,0,0,0
20150706,0,CHA,AL,80,4,31,9,2,0,0,3,0,0,0,0,0,2,0,0,2,3,1,2,2,0,0,27,12,0,0,2,0
20150707,0,CHA,AL,81,1,33,7,1,0,0,1,1,0,1,1,0,8,1,0,1,8,2,2,2,0,0,27,15,1,0,2,0
20150708,0,CHA,AL,82,7,41,16,3,0,1,7,0,1,1,3,0,12,0,1,1,9,5,6,6,1,0,33,15,0,0,3,0
20150709,0,CHA,AL,83,2,29,5,0,1,1,1,0,0,0,2,0,7,0,0,1,5,1,0,0,0,0,27,13,0,0,2,0
20150717,1,CHA,AL,87,2,31,7,1,0,2,2,0,0,0,5,0,6,0,2,1,7,3,4,4,0,0,27,13,0,0,2,0
20150717,2,CHA,AL,88,2,30,9,1,1,0,1,1,0,0,3,0,5,0,1,1,8,4,0,0,1,0,27,11,0,0,0,0
20150718,0,CHA,AL,89,6,51,14,3,0,1,6,0,1,1,4,0,12,0,0,0,12,6,7,7,1,0,39,16,1,1,3,0
20150719,0,CHA,AL,90,1,30,6,1,0,1,1,1,0,0,1,0,6,0,0,2,4,2,4,4,0,0,27,11,0,1,4,0
20150721,0,CHA,AL,91,5,34,8,0,0,2,5,0,1,0,4,0,12,0,0,1,7,4,8,8,1,0,27,11,0,0,1,0
20150722,0,CHA,AL,92,2,35,8,1,0,0,2,0,0,0,1,0,13,1,0,0,7,4,2,2,0,0,27,2,1,0,1,0
20150731,0,CHA,AL,101,6,40,13,4,1,1,5,0,0,0,3,0,10,1,0,0,10,5,13,13,3,0,27,14,0,0,1,0
20150801,0,CHA,AL,102,8,34,11,3,0,2,7,0,0,1,3,0,5,1,0,1,6,4,2,2,0,1,27,8,0,0,1,0
20150802,0,CHA,AL,103,3,33,9,1,0,2,3,0,0,0,2,0,9,1,1,2,5,2,11,11,0,0,27,4,1,0,0,0
20150803,0,CHA,AL,104,4,33,7,2,0,2,4,0,0,0,2,0,11,1,0,0,4,4,5,5,0,0,27,9,1,0,0,0
20150804,0,CHA,AL,105,3,34,7,1,0,2,3,0,0,0,1,0,9,0,0,0,5,4,10,10,0,0,27,11,1,1,1,0
20150805,0,CHA,AL,106,6,35,9,1,0,1,5,0,0,0,6,2,5,1,0,1,7,5,5,5,0,0,30,9,0,0,1,0
20150810,0,CHA,AL,110,8,35,13,1,0,3,8,0,1,1,0,0,5,1,0,0,5,2,2,2,0,0,27,11,0,0,1,0
20150811,0,CHA,AL,111,3,27,4,1,0,1,3,0,0,1,2,0,7,1,1,0,3,4,0,0,0,0,27,12,1,0,1,0
20150812,0,CHA,AL,112,3,44,10,3,0,0,3,1,1,1,3,2,10,1,0,2,10,7,2,2,0,0,39,15,1,0,1,0
20150814,0,CHA,AL,113,5,35,10,2,0,1,5,1,0,0,5,0,11,1,0,1,9,3,6,6,0,0,27,10,0,0,0,0
20150815,0,CHA,AL,114,3,34,6,4,0,0,3,0,0,1,3,0,8,1,0,0,8,5,6,6,0,0,27,8,2,0,0,0
20150816,0,CHA,AL,115,3,32,8,2,0,3,3,0,0,0,3,0,9,0,1,0,8,3,1,1,0,0,27,4,1,0,0,0
20150824,0,CHA,AL,123,4,33,8,3,0,1,4,0,0,0,1,0,4,0,0,1,3,3,5,5,0,0,27,8,0,1,0,0
20150825,0,CHA,AL,124,5,36,15,1,1,0,5,0,0,0,1,0,4,0,0,1,8,4,3,3,0,0,27,13,2,0,0,0
20150826,0,CHA,AL,125,0,33,6,2,0,0,0,0,0,0,0,0,6,0,0,0,6,3,3,3,1,0,27,11,0,0,0,0
20150827,0,CHA,AL,126,4,31,9,3,0,0,4,0,1,1,0,0,3,0,0,1,5,5,2,2,0,0,27,11,0,0,0,0
20150828,0,CHA,AL,127,0,30,4,1,0,0,0,0,0,0,1,0,6,0,0,1,4,3,2,2,1,0,27,10,1,0,1,0
20150829,0,CHA,AL,128,6,37,11,1,0,0,6,0,0,0,7,0,10,0,0,1,11,4,6,6,0,0,27,11,1,0,0,0
20150830,0,CHA,AL,129,6,47,14,2,0,1,5,0,0,0,7,1,10,2,0,1,16,5,5,5,0,0,33,10,1,0,1,0
20150907,0,CHA,AL,136,2,29,3,0,1,0,2,0,1,1,5,0,9,1,0,0,7,3,3,3,0,0,27,11,0,0,1,0
20150908,0,CHA,AL,137,7,33,11,2,0,2,7,0,0,0,4,0,8,1,1,0,6,4,4,4,0,0,27,6,1,0,0,0
20150909,0,CHA,AL,138,4,35,7,1,0,3,4,0,0,0,1,0,11,1,0,0,5,4,4,4,0,0,27,10,1,0,1,0
20150911,0,CHA,AL,139,2,31,6,1,0,1,2,0,0,1,2,0,8,1,0,0,5,5,6,6,3,0,27,9,0,0,1,0
20150912,0,CHA,AL,140,8,38,15,3,0,0,7,1,1,0,2,0,5,2,0,0,10,6,1,1,0,0,27,6,1,1,1,0
20150913,0,CHA,AL,141,0,31,5,1,0,0,0,0,0,0,1,0,8,0,0,1,5,5,7,7,1,0,27,8,2,1,1,0
20150914,0,CHA,AL,142,8,55,16,2,0,2,8,1,0,1,10,2,19,0,0,1,18,7,5,5,1,0,42,11,1,1,1,0
20150915,0,CHA,AL,143,6,36,12,0,0,2,6,0,0,1,4,0,10,1,0,2,8,7,15,15,2,0,27,10,2,0,1,0
20150916,0,CHA,AL,144,9,32,8,2,1,3,9,0,0,0,6,0,3,0,0,0,5,3,4,4,1,0,27,6,0,0,1,0
20150917,0,CHA,AL,145,2,34,8,0,0,1,2,0,0,0,3,0,7,0,0,1,8,3,4,4,0,0,27,9,1,0,1,0
20150929,0,CHA,AL,157,4,32,10,1,0,1,4,0,0,0,3,0,5,0,0,2,7,4,2,2,0,0,27,7,0,0,1,0
20150930,0,CHA,AL,158,3,42,13,1,0,1,3,0,0,0,2,0,7,1,0,1,11,2,5,5,0,0,30,8,2,1,0,0
20151001,0,CHA,AL,159,4,33,8,1,0,0,3,0,0,0,4,0,6,0,1,0,6,4,6,6,0,0,27,11,1,0,1,0
20151002,0,CHA,AL,160,2,27,5,1,0,0,2,0,0,2,1,0,1,0,0,1,4,3,1,1,0,0,27,11,0,1,1,0
20151003,0,CHA,AL,161,4,35,8,3,0,0,4,0,0,0,4,1,10,2,0,0,9,5,3,3,1,0,27,4,0,1,1,0
20151004,0,CHA,AL,162,0,30,3,1,1,0,0,0,0,0,2,0,4,0,0,1,5,5,6,6,0,0,27,4,0,0,0,0
20160408,0,CHA,AL,5,1,27,3,0,0,1,1,0,0,1,4,0,9,0,0,2,4,3,5,5,0,0,27,10,1,0,1,0
20160409,0,CHA,AL,6,7,35,10,1,0,2,6,0,0,0,3,1,4,0,0,0,7,3,3,3,0,0,27,10,1,0,1,0
20160418,0,CHA,AL,13,0,30,3,2,0,0,0,0,0,0,3,0,10,0,0,0,6,5,7,7,0,0,27,15,1,1,1,0
20160419,0,CHA,AL,14,5,32,9,1,1,2,5,1,0,0,2,1,5,0,0,0,6,3,0,0,0,0,27,14,0,0,0,0
20160420,0,CHA,AL,15,2,26,5,1,0,1,1,2,0,0,4,1,7,3,1,2,6,3,0,0,1,0,27,14,1,0,0,0
20160421,0,CHA,AL,16,2,30,5,1,0,2,2,0,0,0,4,0,5,0,2,0,5,3,3,3,0,0,27,14,0,0,4,0
20160422,0,CHA,AL,17,5,29,7,4,0,0,4,1,1,0,4,0,4,0,0,1,6,3,0,0,0,0,27,12,0,0,0,1
20160423,0,CHA,AL,18,4,39,11,0,0,2,4,0,0,2,7,0,7,0,1,1,13,6,3,3,0,0,33,13,1,0,1,0
20160424,0,CHA,AL,19,4,28,8,3,0,1,3,0,1,0,5,0,4,0,0,1,6,4,1,1,0,0,27,10,1,0,2,0
20160503,0,CHA,AL,27,4,28,5,1,1,0,4,0,0,0,7,1,8,0,0,1,7,2,1,1,0,0,27,10,0,0,1,0
20160504,0,CHA,AL,28,2,28,3,0,0,1,2,0,0,0,3,0,7,0,0,2,2,4,5,5,1,0,27,10,0,0,3,0
20160505,0,CHA,AL,29,3,32,8,0,0,1,2,0,0,0,9,0,8,1,1,1,11,4,7,7,0,0,27,12,0,0,2,0
20160506,0,CHA,AL,30,10,38,14,1,1,1,10,0,0,1,3,0,8,0,0,0,8,5,4,4,1,0,27,12,0,0,1,0
20160507,0,CHA,AL,31,7,35,13,4,0,1,7,0,0,1,6,1,6,0,0,2,11,3,2,2,0,0,27,8,0,0,0,0
20160508,0,CHA,AL,32,3,30,6,4,0,0,3,0,0,0,2,1,9,1,0,1,5,3,1,1,1,0,27,8,0,0,1,0
20160517,0,CHA,AL,39,5,43,11,4,0,1,5,0,1,0,3,0,12,0,0,0,9,6,5,5,0,0,33,13,2,0,0,0
20160518,0,CHA,AL,40,3,35,10,2,1,0,3,0,0,0,2,0,8,0,0,1,7,3,5,5,0,0,27,16,0,0,2,1
20160519,0,CHA,AL,41,2,28,5,0,1,0,2,0,1,0,1,0,9,2,0,0,4,1,1,1,0,0,27,10,0,0,0,0
20160520,0,CHA,AL,42,1,32,6,0,0,0,1,0,1,1,3,0,10,0,0,0,9,3,4,4,0,0,27,11,1,0,2,0
20160521,0,CHA,AL,43,1,32,7,1,0,0,0,1,0,1,3,0,7,0,0,2,9,4,2,2,0,0,27,8,0,0,1,0
20160522,0,CHA,AL,44,3,29,7,2,0,1,3,1,0,0,4,0,6,1,0,1,7,5,2,2,0,0,27,8,0,1,1,0
